Code,Description,Default_Translation (en-en),Target_Translation (de-de),Has_Translation
I18N_FOR,"i18NCode for ""For""",for,für,Yes
I18N_FOR_SUBSTITUTION,"I18NCode for ""For Substitution""",For Substitution,Zur Vertretung,Yes
I18N_FORGOT_PASSWORD_,I18NCode for Forgot Password?,Forgot Password?,Passwort vergessen?,Yes
I18N_FORMATION,I18NCode for Formation,Formation,Bildung,Yes
I18N_FORMATIONS,I18NCode for Formations,Formations,Formationen,Yes
I18N_FORMATS,I18NCode for Formats,Formats,Formate,Yes
I18N_FRANCHISE,I18NCode for Franchise,Franchise,Franchise,Yes
I18N_FROM,I18Code for From,From,Aus,Yes
I18N_FUNCTIONAL_COOKIES,"I18NCode for Functional cookies
",Functional cookies,Funktionelle Cookies,Yes
I18N_FUTURE_RENEWALS,I18NCode for Future Renewals,Future Renewals,Zukünftige Erneuerungen,Yes
I18N_GAME_RESULT,I18NCode for Game Result,Game result for,Spielergebnis für,Yes
I18N_GAMES,I18NCode for Games,Games,Spiele,Yes
I18N_GENERATE,I18NCode for Generate,Generate,Erzeugen,Yes
I18N_GENERATE_TEAMS,I18NCode for Generate Teams,Automatically generate teams,Generieren Sie automatisch Teams,Yes
I18N_GET_DEFAULT,I18NCode for Get Default,Get Default,Holen Sie sich Standard,Yes
I18N_GIVE_NO_REFERRALS_ON_LAST,I18NCode for Give No Referrals On Last,Give No Referrals On Last,Geben Sie zum Schluss keine Empfehlungen ab,Yes
I18N_GIVEN_BUSINESS,I18NCode for Given Business Chart,Given Business,Angesichts des Geschäfts,Yes
I18N_GIVEN_REFERRALS,I18NCode for Given Referrals Chart,Given Referrals,Gegebene Empfehlungen,Yes
I18N_GOAL,I18NCode for Goal,Goal,Gegebene Empfehlungen,Yes
I18N_GOAL_ABREV,I18NCode for Goal,Goal,Ziel,Yes
I18N_GOAL_ABSENTISM_TOOLTIP,I18NCode for Goal Absentism Tooltip,Expected absence at the end of the period (ex: 2.5),"Erwartete Abwesenheit am Ende des Zeitraums (z. B. 2,5)",Yes
I18N_GOAL_CEU_TOOLTIP,I18Ncode for Goal Ceu Tooltip,Chapter Education Units/member/week,Kapitel-Bildungseinheiten/Mitglied/Woche,Yes
I18N_GOAL_CONVERSIONTOOLTIP,I18NCode for Goal ConversionTooltip,Average Conversion (ex: 17.5),"Durchschnittliche Conversion (z. B. 17,5)",Yes
I18N_GOAL_ENTRIES_TOOLTIP,I18NCode for Goal Entries Tooltip,Number of expected new members in the period for all the context,Anzahl der erwarteten neuen Mitglieder im Zeitraum für den gesamten Kontext,Yes
I18N_GOAL_EXIT_TOOLTIP,I18NNCode for Goal Exit Tooltip,Number of expected dropouts in the period for all the context,Anzahl der erwarteten Abbrecher im Zeitraum für den gesamten Kontext,Yes
I18N_GOAL_OTO_TOOLTIP,I18NCode for Goal oto Tooltip,1-2-1s/member/month,1-2-1 Sek./Mitglied/Monat,Yes
I18N_GOAL_REFERRALS_TOOLTIP,I18NCode for Goal Referrals Tooltip,Referrals/member/week,Empfehlungen/Mitglied/Woche,Yes
I18N_GOAL_RENEWALS,I18NCode for Goal Renewals in graphic,Renewals Goal,Erneuerungsziel,Yes
I18N_GOAL_RENOVATION_TOOLTIP,I18NCode for Goal Renovation Tooltip,Total submitted renewals at the end of the period,Gesamtzahl der eingereichten Verlängerungen am Ende des Zeitraums,Yes
I18N_GOAL_RETENTIONTOOLTIP,Goal RetentionTooltip,Desired Retention at the end of the period (ex: 70),Gewünschte Aufbewahrung am Ende des Zeitraums (z. B. 70),Yes
I18N_GOAL_SIZE_TOOLTIP,I18NCode for Goal Size Tooltip,Expected Average Chapter size at the end of the period,Erwartete durchschnittliche Kapitelgröße am Ende des Zeitraums,Yes
I18N_GOAL_TRACKING,I18NCode for Goal Tracking,Goal Tracking,Zielverfolgung,Yes
I18N_GOAL_TYFCB_TOOLTIP,I18NCode for Goal TYFCB Tooltip,Thank You For Closed Business,Vielen Dank für den Geschäftsabschluss,Yes
I18N_GOAL_VISITS_TOOLTIP,I18NCode for Goal Visits Tooltip,Visitors/chapter/week,Besucher/Kapitel/Woche,Yes
I18N_GOALS,,Goals,Ziele,Yes
I18N_GREATER_THAN_OR_EQUAL_TO_0,I18NCode for Greater Than Or Equal To 0,Greater than or equal to 0,Größer oder gleich 0,Yes
I18N_GREATER_THAN_OR_EQUAL_TO_2_FAULTS,I18NCode for Greater than or equal to 2 faults,greater than or equal to 2 faults,größer oder gleich 2 Fehler,Yes
I18N_GREEN,I18NCode for Green,Green,Grün,Yes
I18N_GREEN_LABEL_INFO,I18NCode for Green Label Info,new members that reached Green,"neue Mitglieder, die Green erreicht haben",Yes
I18N_GRN,I18NCode for #Grn on table label,#Grn,#Grn,Yes
I18N_GROUP,I18NCode for Group,Group,Gruppe,Yes
I18N_GROUP_CHAT,I18NCode for Group Chat,Group chat,Gruppenchat,Yes
I18N_GROUP_CHATS_ONLY,"I18NCode for Group chats only
",Group chats only,Nur Gruppenchats,Yes
I18N_GROUP_MECHANISMS,I18NCode for Group Mechanisms Page,Chapter Mechanisms,Kapitel Mechanismen,Yes
I18N_GROUP_MEMBERS,I18NCode for Group Members,Group members,Gruppenmitglieder,Yes
I18N_GROUPS,,Chapters,Kapitel,Yes
I18N_GROW,I18NCode for Grow.,Grow.,Wachsen.,Yes
I18N_GROWTH,I18NCode for Growth,Growth,Wachstum,Yes
I18N_GROWTH_TRACKING_MECHANISMS,I18NCode for Growth Tracking Mechanisms,Growth Tracking Mechanisms,Wachstumsverfolgungsmechanismen,Yes
I18N_GRY,I18NCode for #Gry on table label,#Gry,#Gry,Yes
I18N_HAS_DEFINED_GOALS,"I18Ncode for Has defined goals
",with defined goals,mit definierten Zielen,Yes
I18N_HAS_FINANCIAL_DATA,I18NCode for Has Financial Data,Has Financial Data,Verfügt über Finanzdaten,Yes
I18N_HAS_GOAL,I18NCode for Has Goal,Has Goal,Hat ein Ziel,Yes
I18N_HAVE_YOU_ALREADY_RESET_THE_PASSWORD,I18NCode for Have You Already Reset The Password,Have you already reset the password?,Haben Sie das Passwort bereits zurückgesetzt?,Yes
I18N_HELP,I18NCode for Help,Help,Helfen,Yes
I18N_HELP_RESIZE_IMAGE_MODAL,"I18NCode for Drag to position, use the corners to resize the cropping area.
","Drag to position, use the corners to resize the cropping area.","Ziehen Sie es an die gewünschte Position und verwenden Sie die Ecken, um die Größe des Zuschneidebereichs zu ändern.",Yes
I18N_HIDE_FROM_REPORT,I18NCode for Hide From Report,Hide From Report,Aus Bericht ausblenden,Yes
I18N_HOST_TEAM,I18NCode for Host Team,Host Team,Gastgeber-Team,Yes
I18N_HOW,I18NCode for How,How,Wie,Yes
I18N_HOW_CAN_I_SETUP_TASKS_IN_REPORTING2YOU_AND_AUTOMATE_ZERO_TO_ONE_TASK,I18NCode for How can I setup Tasks in Reporting2You and automate Zero-To-One Task,How can I setup Tasks in Reporting2You and automate Zero-To-One Task,Wie kann ich Aufgaben in Reporting2You einrichten und Zero-To-One-Aufgaben automatisieren?,Yes
I18N_HOW_DO_I,I18NCode for How do i,How do i...,Wie kann ich...,Yes
I18N_HOW_DO_WE_PROTECT_YOUR_INFORMATION,I18NCode for How do we protect your information,How do we protect your information?,Wie schützen wir Ihre Daten?,Yes
I18N_HOW_LONG_WILL_YOUR_INFORMATION_BE_HELD,I18NCode for How long will your information be held,How long will your information be held?,Wie lange werden Ihre Daten gespeichert?,Yes
I18N_HOW_THIS_INFORMATION_IS_USED,I18NCode for How this information is used,How this information is used?,Wie werden diese Informationen verwendet?,Yes
I18N_HOW_TO_IMPROVE,I18NCode for How to Improve,How do i improve,Wie kann ich mich verbessern?,Yes
I18N_I_M_NEW_IN_REPORTING2YOU__IS_THERE_ANY_QUICK_OVERVIEW,I18NCode for I'm new in Reporting2You! Is there any quick overview,I'm new in Reporting2You! Is there any quick overview,Ich bin neu bei Reporting2You!,Yes
I18N_I18N_DESCRIPTION_IS_VERY_USEFUL,I18NCode for I18n Description is very Useful,Description is very useful,Beschreibung ist sehr nützlich,Yes
I18N_I18N_WITH_HISTORY_,I18NCode for With History ,History,Geschichte,Yes
I18N_I18N_ZEROREF_W,I18NCode for ZeroREF/week,ZeroREF/W,ZeroREF/W,Yes
I18N_I18NCODES,I18NCodes for I18NCodes,I18N Codes,I18N-Codes,Yes
I18N_ICON,I18NCode for Icon,Icon,Symbol,Yes
I18N_IGNORED,I18NCode to Ignored,Ignored,Ignoriert,Yes
I18N_IMAGE_GAME,I18NCode for Image Game,Image Game,Bildspiel,Yes
I18N_IMAGE_UPLOAD_ERROR,I18NCode for Image Upload Error,Error submitting image.,Fehler beim Senden des Bildes.,Yes
I18N_IMAGE_UPLOAD_SUCCESS,I18NCode for Image Upload Success,Image submitted successfully.,Bild erfolgreich übermittelt.,Yes
I18N_IMPERSONATION_MODE,I18NCode for Impersonation Mode,Impersonation Mode,Identitätswechselmodus,Yes
I18N_IMPLEMENT_A_BNI_GAME,I18NCode for Implement a BNI Game,Implement a BNI Game,Implementieren Sie ein BNI-Spiel,Yes
I18N_IMPLEMENT_GAME_NOTE,I18NCode for Implement Game Note,"Note:To configure this report to be sent to members, or Directors you need to go to Regional Administration -> Regional Settings and at the Reports section set who do you want to receive the BNI Game report.<br/>
After this, a report will be generated every Monday for each active BNI Game in your region.","Hinweis: Um diesen Bericht so zu konfigurieren, dass er an Mitglieder oder Direktoren gesendet wird, müssen Sie zu „Regionale Verwaltung -> Regionale Einstellungen“ gehen und im Abschnitt „Berichte“ festlegen, wer den BNI-Spielbericht erhalten soll.<br/>",Yes
I18N_IMPORT_TRANSLATIONS,I18NCode for Import Translations,Import Translations,Übersetzungen importieren,Yes
I18N_IMPROVE,I18NCode for Improve,To improve,,Yes
I18N_IN,I18NCode for In,In,In,Yes
I18N_IN_THE_LAST,I18NCode for In the Last,In the last,Im letzten,Yes
I18N_IN_THE_LASTS,I18NCode for In the Last,In the last,Im letzten,Yes
I18N_IN_THIS_DATE_RANGE_,"I18NCode for in this date range.
",in this date range.,in diesem Datumsbereich.,Yes
I18N_INACTIVE,I18NCode for Inactive,Inactive,Inaktiv,Yes
I18N_INACTIVITY_NOTICE,"I18NCode for Inactivity Notice
",Inactivity notice,Inaktivitätshinweis,Yes
I18N_INCOMPLETE_DOWNLOAD,"I18NCode for Incomplete download
",Incomplete download,Unvollständiger Download,Yes
I18N_INDICATORS,I18NCode for Indicators,Indicators,Indikatoren,Yes
I18N_INDUSTRY,I18NCode for Industry,Industry,Industrie,Yes
I18N_INITIAL_COUNT,I18NCode for Initial Count,Initial Count,Anfängliche Zählung,Yes
I18N_INITIATE_A_POLL,i18NCode for Initiate a Poll,Initiate a poll,Starten Sie eine Umfrage,Yes
I18N_INSERT_CODE,I18NCode for I18N name placeholder on modals	,Fill Code with I18N,Füllen Sie den Code mit I18N,Yes
I18N_INSERT_CONTEXT,I18NCode for Context name placeholder on modals	,Enter a name for the new module type,Geben Sie einen Namen für den neuen Modultyp ein,Yes
I18N_INSERT_CONTEXT_DESCRIPTION,I18NCode for description placeholder modals	,Fill in the name of the new context,Geben Sie den Namen des neuen Kontexts ein,Yes
I18N_INSERT_DESCRIPTION,I18NCode for I18N description placeholder on modals	, Fill with the I18NCode description,Füllen Sie die I18NCode-Beschreibung aus,Yes
I18N_INSERT_DROP_FILES_TASK,I18NCode for the dropzone in task's modal,Drop the files here,Legen Sie die Dateien hier ab,Yes
I18N_INSERT_LANGUAGE_DESCRIPTION,I18NCode for language description placeholder modals	,Fill in the description of the new language,Geben Sie die Beschreibung der neuen Sprache ein,Yes
I18N_INSERT_LANGUAGE_NAME,I18NCode for language name placeholder modals	,Fill in the language  of the new language,Geben Sie die Sprache der neuen Sprache ein,Yes
I18N_INSERT_LANGUAGE_SHORTNAME,I18NCode for shortname placeholder modals	,Fill in the shortname of the new language,Geben Sie den Kurznamen der neuen Sprache ein,Yes
I18N_INSERT_MECHANISMS,I18NCode for Insert Mechanisms,Insert Mechanisms,Mechanismen einfügen,Yes
I18N_INSERT_MODULE,I18NCode for module name placeholder on modals, Fill in the name of the new module,Geben Sie den Namen des neuen Moduls ein,Yes
I18N_INSERT_MODULE_DESCRIPTION,I18NCode for description placeholder modals,Enter a name for the new module type,Geben Sie einen Namen für den neuen Modultyp ein,Yes
I18N_INSERT_PROFILE_DESCRIPTION,I18NCode for Insert Profile Description,Insert Profile Description,Profilbeschreibung einfügen,Yes
I18N_INSERT_PROFILE_NAME,I18NCode for Insert Profile Name,Insert Profile Name,Geben Sie den Profilnamen ein,Yes
I18N_INSERT_TASK_DESCRIPTION,I18NCode for insert description in task's modal,Enter a Description,Geben Sie eine Beschreibung ein,Yes
I18N_INSERT_TRANSLATION_DESCRIPTION,I18NCode for translation description placeholder modals,Fill with the language description,Füllen Sie die Sprachbeschreibung aus,Yes
I18N_INTERNAL,I18NCode for Internal,Internal,Intern,Yes
I18N_INVALID_CREDENTIALS,I18NCode for Invalid Credentials,Invalid credentials,Ungültige Anmeldeinformationen,Yes
I18N_INVALID_OR_EXPIRED_TOKEN,I18NCode for Invalid Or Expired Token,Invalid or Expired token,Ungültiges oder abgelaufenes Token,Yes
I18N_INVALID_TOKEN_,I18NCode for Invalid Token, <strong>Invalid Token!</strong> The token provided is invalid.,<strong>Ungültiges Token!</strong> Das bereitgestellte Token ist ungültig.,Yes
I18N_INVALID_USER_DATA,I18NCode for Invalid User Data,Invalid user data,Ungültige Benutzerdaten,Yes
I18N_IS_REPORTING2YOU_GDPR_COMPLIANT,I18NCode for Is Reporting2You GDPR Compliant,Is Reporting2you GDPR compliant,Ist Reporting2you DSGVO-konform?,Yes
I18N_IT_WAS_NOT_POSSIBLE_TO_LOAD_THE_MEMBERS,I18NCode for It was not possible to load the members,It was not possible to load the members,Die Mitglieder konnten nicht geladen werden,Yes
I18N_JANUARY,I18NCode for January,January,Januar,Yes
I18N_JOIN_DATE,"I18NCode for Join Date
",Join Date,Beitrittsdatum,Yes
I18N_JULY,I18NCode for July,July,Juli,Yes
I18N_JUNE,I18NCode for June,June,Juni,Yes
I18N_KEY_METRICS,I18NCode for Key metrics,Key metrics,Schlüsselkennzahlen,Yes
I18N_KINDLY_SUGGEST_THAT,I18NCode for Kindly suggest that,Kindly suggest that,Bitte schlagen Sie das freundlich vor,Yes
I18N_KPI,I18NCode for KPI's,Kpi's,KPIs,Yes
I18N_KPI_CORRELATION,I18NCode for KPI Correlation,Kpi Correlation,KPI-Korrelation,Yes
I18N_KPI_EVOLUTION,I18NCode for Kpi Evolution,KPI Evolution,KPI-Entwicklung,Yes
I18N_KPI_GAME,I18NCode for Kpi Game,Kpi Game,KPI-Spiel,Yes
I18N_KPI_GAME_BNI,I18NCode for KPI Game BNI,KPI Game KPIS,KPI-Spiel KPIS,Yes
I18N_KPI_SINGULAR,I18NCode for Kpi in singular,Kpi,Kpi,Yes
I18N_L,I18NCode for L,L,L,Yes
I18N_LANGUAGE,I18NCode for the language name 	,Language,Sprache,Yes
I18N_LANGUAGE_DESCRIPTION,I18NCode for language description,Description,Beschreibung,Yes
I18N_LANGUAGES,I18NCodes for Languages,Languages,Sprachen,Yes
I18N_LAST,I18NCode for Last,Last,Zuletzt,Yes
I18N_LAST_6_MONTHS,I18NCode for Last 6 Months,Last 6 Months,Letzte 6 Monate,Yes
I18N_LAST_CLOSED_MONTH,I18NCode for Last Closed Month,Last Closed Month,Letzter geschlossener Monat,Yes
I18N_LAST_MEMBERS_IN_TRAFFIC_LIGHTS,I18NCode for Last Members In Traffic Lights,Last Members in Traffic Lights,Letzte Mitglieder in der Ampel,Yes
I18N_LAST_MONTH,I18CodeN for last month,Last month:,Letzten Monat:,Yes
I18N_LAST_NAME,I18NCode for Last Name label,Last Name,Nachname,Yes
I18N_LAST_NEW_MEMBER,I18NCode for Last New Member,Last New Member,Letztes neues Mitglied,Yes
I18N_LAST_SPONSORSHIP,I18NCode for Last Sponsorship,Last Sponsorship,Letzte Patenschaft,Yes
I18N_LAST_SUBMITED_PALMS,I18NCode for Last submitted PALMS:,Last submitted PALMS,Zuletzt eingereichte PALMS,Yes
I18N_LAST_UPDATE,I18NCode for Last Update,Last Update,Letztes Update,Yes
I18N_LAST12MONTS,I18NCode for Last12Months,Last 12 Months ::,Letzte 12 Monate ::,Yes
I18N_LASTMONTH_MENU,I18NCode for Last Month Side Bar Menu,Last Month,Letzten Monat,Yes
I18N_LATE,I18NCode for Late,Late,Spät,Yes
I18N_LATEST_REPORTS_RECEIVED,Latest Reports Received,Latest Reports Received,Neueste eingegangene Berichte,Yes
I18N_LAUNCH,I18NCode for Launch,Launch,Start,Yes
I18N_LAUNCH_DATE,I18NCode for Launch Date,Launch Date,Startdatum,Yes
I18N_LEADERSHIP_TEAM,I18NCode for Leadership Team,Leadership Team,Führungsteam,Yes
I18N_LEADERSHIP_TEAM_TRAFFIC_LIGHTS,"I18NCode for ""Leadership Team (LT) Traffic Lights""",Leadership Team (LT) Traffic Lights,Ampel des Führungsteams (LT).,Yes
I18N_LEAVING,I18NCode for Exiting,Leaving,Weggehen,Yes
I18N_LENGTH_YEARS,I18NCode for Length(Years),Length (Years),Dauer (Jahre),Yes
I18N_LEVEL,I18NCode for Level,Level,Ebene,Yes
I18N_LOADING,I18NCode for Loading,Loading...,Laden...,Yes
I18N_LOADING_WARNING_MESSAGE,I18NCode for Loading Warning Message,"Attention!!! This procedure may take a considerable amount of time depending on the number of members, chapters and time interval.",Aufmerksamkeit!!!,Yes
I18N_LOCATION___DETAILS,I18NCode for Location & Details,Location & details,Standort und Details,Yes
I18N_LOG_IN_TO_REPORTING2YOU,"I18NCode for Log In to Reporting2You
",Log In to Reporting2You,Melden Sie sich bei Reporting2You an,Yes
I18N_LOG_OUT,I18NCode for Log Out,Logout,Abmelden,Yes
I18N_LOGIN_FAILED,I18NCode for Login Failed,Login Failed,Fehler bei der Anmeldung,Yes
I18N_LOGIN_WITH_EMAIL,"I18NCode for Login with email
",Login with email,Melden Sie sich mit E-Mail an,Yes
I18N_LT,I18NCode for LT,LT,LT,Yes
I18N_LT_SUSPEND_MEMBERSHIP,I18NCode for LT Suspend Membership,LT Suspend membership,LT Mitgliedschaft aussetzen,Yes
I18N_LT_SUSPEND_MEMBERSHIP_LABEL,I18NCode for LT Suspend Membership Label,Activate LT membership suspension,Aktivieren Sie die Suspendierung der LT-Mitgliedschaft,Yes
I18N_LT_TRAFFIC_LIGHTS_SCORING_METHOD,"I18NCode for ""LT Traffic Lights Scoring Method""",LT Traffic Lights Scoring Method,LT-Ampel-Bewertungsmethode,Yes
I18N_M,I18NCode for M,M,M,Yes
I18N_MANAGE,I18NCode for manage.,Manage,Verwalten,Yes
I18N_MANAGE_CHAPTER_GOALS,I18NCode for Manage Chapter Goals,Manage Chapter Goals,Kapitelziele verwalten,Yes
I18N_MANAGE_COUTRY_GOALS,I18NCode for Manage Coutry Goals,Manage Country Goals,Länderziele verwalten,Yes
I18N_MANAGE_DIRECTOR_GOALS,I18NCode for Manage Director Goals,Manage Director Goal,Direktorziel verwalten,Yes
I18N_MANAGE_MULTIREGION_GOALS,I18NCode for Manage MultiRegion Goals,Manage Multiregion Goals,Verwalten Sie multiregionale Ziele,Yes
I18N_MANAGE_REGION_GOALS,I18NCode for Manage region goals,Manage Region Goals,Regionsziele verwalten,Yes
I18N_MANAGE_TASKS,I18NCode for Manage Tasks Menu,Manage your tasks,Verwalten Sie Ihre Aufgaben,Yes
I18N_MANAGE_TEAM_GOALS,,Manage Team Goals,Verwalten Sie Ihre Aufgaben,Yes
I18N_MANAGE_YOUR_GOAL,I18NCode to Manage your goal,Manage your Goal!,Verwalten Sie Ihr Ziel!,Yes
I18N_MARCH,I18NCode for March,March,Marsch,Yes
I18N_MARKET,I18NCode for Market,Market,Markt,Yes
I18N_MAX,I18NCode represent Max:,Max:,Maximal:,Yes
I18N_MAXIMUM,I18NCode for Maximum,File too large. The maximum size is 5MB.,Datei zu groß.,Yes
I18N_MAY,I18NCode for May,May,Mai,Yes
I18N_MB,I18NCode for MB,MB,MB,Yes
I18N_MC,I18NCode for MC,MC,MC,Yes
I18N_MCKPI_DESCRIPTION,I18NCode for MCKPI Description,"This is a  <strong>monthly report</strong> that usually is sent to each Leadership Team every 3rd working day of the month.<br/>

It is a fantastic report that has two pages, in the first one you can see the Leadership Team members and the major chapter Key Performance Indicator for 12 and 6 months and at the second page, you will find the previous month Chapter Notable Networkers for Referrals, Business Given, One-to-Ones and Visitors.

It really saves time to LT and, if they print the report, they can use it at the Checkin Table...","Hierbei handelt es sich um einen  <strong>monatlichen Bericht</strong>, der normalerweise jeden dritten Werktag des Monats an jedes Führungsteam gesendet wird.<br/>",Yes
I18N_MCKPI_MONTHLY_CHAPTER_KEY_PERFORMANCE_INDICATORS_REPORT,I18NCode for MCKPI - Monthly Chapter Key Performance Indicators Report,MCKPI - Monthly Chapter Key Performance Indicators Report,MCKPI – Monatlicher Kapitelbericht zu den wichtigsten Leistungsindikatoren,Yes
I18N_MCMTE_DESCRIPTION,I18NCode for MCMTE Description,"This is a <strong>monthly report</strong> that usually is sent to LT's and DC's (the ED must set who receives it, LT, DC...) every 3rd working day of the month.<br/>

The goal is to give LT's and Directors an update regarding their members performance evolution and also the ability to understand Mentors success.","Hierbei handelt es sich um einen <strong>monatlichen Bericht</strong>, der normalerweise an jedem dritten Werktag des Monats an LTs und DCs gesendet wird (der ED muss festlegen, wer ihn erhält, LT, DC...).<br/>",Yes
I18N_MCMTE_MONTHLY_MEMBER_TRAFFIC_LIGHTS_EVOLUTION_,I18NCode for MCMTE Monthly Member Traffic Lights Evolution ,MCMTE - Monthly Member Traffic Lights Evolution,MCMTE – Monatliche Mitglieder-Ampelentwicklung,Yes
I18N_MCMTL__MONTHLY_MEMBER_TRAFFIC_LIGHTS_REPORT,I18NCode for MCMTL - Monthly Member Traffic Lights Report,MCMTL - Monthly Member Traffic Lights Report,MCMTL – Monatlicher Mitglieder-Ampelbericht,Yes
I18N_MCMTL_DESCRIPTION,I18NCode for MCMTL Description,"This is a <strong>monthly report</strong> that usually is sent each member (the ED decides who receives it, LT, DC...) every 3rd working day of the month.<br/>

The goal is to give each member enough information to understand where he needs to invest time in order to work is own VCP. If he opens the file with Adobe Acrobat Reader he can click his name and the system will tell him how many referrals, trainings, one-to-one, visitors, testimonials he needs to do to reach next color and Green... try it! It is really great.",MCMTL – Monatlicher Mitglieder-Ampelbericht,Yes
I18N_MCP_DESCRIPTION,I18NCode for Description,"This is a <strong>monthly report</strong> that usually is sent to the Leadership Team every 3rd working day of the month.<br/>

The goal is to give each Leadership and DC a tool to look for the principal Key Success Factor to fix (Power of One), because in this report it is so easy to understand the chapter evolution on each and every KSF and other KPI's",MCMTL – Monatlicher Mitglieder-Ampelbericht,Yes
I18N_MCP_MONTHLY_CHAPTER_PERFORMANCE_REPORT,I18NCode for MCP Monthly Chapter Performance Report,MCP - Monthly Chapter Performance Report,MCP – Monatlicher Chapter-Leistungsbericht,Yes
I18N_MDAA_DESCRIPTION,I18NCode for MDAA Description,"This is a <strong>monthly report</strong> that usually is sent to each AD every 3rd working day of the month.

The goal is to give, in only one report, the list of next 3 month renewals and identify on that list the members in member traffic lights RED or GRAY, and also complete list of what happened last month in the region (late, dropped , new and renewed members, members with 3 or more absences, members with 3 or more substitutions, PALMS monitoring and Directors Chapter Visits)","Hierbei handelt es sich um einen <strong>monatlichen Bericht</strong>, der normalerweise jeden dritten Werktag des Monats an jeden AD gesendet wird.",Yes
I18N_MDAA_MONTHLY_AREA_DIRECTOR_CONSULTANT_ALERT_REPORT,I18NCode for MDAA  Monthly Area Director Consultant Alert Report,MDAA - Monthly Area Director Consultant Alert Report,MDAA – Monatlicher Warnbericht für Gebietsleiter und Berater,Yes
I18N_MDAP_DESCRIPTION,I18NCode for MDAP Description,"This is a <strong>monthly report</strong> that usually is sent to each AD every 3rd working day of the month.<br/>

The goal is to give the AD a tool to look understand his performance and evolution on each and every KSF and other KPI's","Hierbei handelt es sich um einen <strong>monatlichen Bericht</strong>, der in der Regel jeden dritten Werktag des Monats an jeden AD gesendet wird.<br/>",Yes
I18N_MDAP_MONTHLY_AREA_DIRECTOR_CONSULTANT_PERFORMANCE_REPORT,I18NCode for MDAP Monthly Area Director Consultant Performance Report,MDAP - Monthly Area Director Consultant Performance Report,MDAP – Monatlicher Leistungsbericht des Area Director Consultant,Yes
I18N_MDCA_DESCRIPTION,I18NCode for MDCA,"This is a <strong>monthly report</strong> that usually is sent to each DC every 3rd working day of the month.<br/>

The goal is to give, in only one report, the list of next 3 month renewals and identify on that list the members in member traffic lights RED or GRAY, and also complete list of what happened last month in the region (late, dropped , new and renewed members, members with 3 or more absences, members with 3 or more substitutions, PALMS monitoring and Directors Chapter Visits)","Hierbei handelt es sich um einen <strong>monatlichen Bericht</strong>, der normalerweise jeden dritten Werktag des Monats an jeden DC gesendet wird.<br/>",Yes
I18N_MDCA_MONTHLY_DIRECTOR_CONSULTANT_ALERT_REPORT,I18NCode for MDCA  Monthly Director Consultant Alert Report,MDCA - Monthly Director Consultant Alert Report,MDCA – Monatlicher Director Consultant Alert Report,Yes
I18N_MDCP_DESCRIPTION,I18NCode for MDCP Description,"This is a <strong>monthly report</strong> that usually is sent to each DC every 3rd working day of the month.<br/>

The goal is to give the DC a tool to look understand his performance and evolution on each and every KSF and other KPI's","Hierbei handelt es sich um einen <strong>monatlichen Bericht</strong>, der normalerweise jeden dritten Werktag des Monats an jeden DC gesendet wird.<br/>",Yes
I18N_MDCP_MONTHLY_DIRECTOR_CONSULTANT_PERFORMANCE_REPORT,I18NCode for MDCP Monthly Director Consultant Performance Report,MDCP - Monthly Director Consultant Performance Report,MDCP – Monatlicher Leistungsbericht des Director Consultant,Yes
I18N_ME,I18NCode for Me,Me,Mich,Yes
I18N_MECHANISMS,I18NCode for Mechanisms,Mechanisms,Mechanismen,Yes
I18N_MEETING,I18NCode for Meeting,Meeting,Treffen,Yes
I18N_MEGA_REGION,I18NCode for Mega Region,Mega Region,Mega-Region,Yes
I18N_MEM,I18NCode for MEM,MEM,MEM,Yes
I18N_MEMBER,I18NCode for Member,Member,Mitglied,Yes
I18N_MEMBER_ANALYSIS,I18NCode for Member Analysis,Member Analysis,Mitgliederanalyse,Yes
I18N_MEMBER_FLOW,I18NCode for Member Flow,Member Flow,Mitgliederfluss,Yes
I18N_MEMBER_MANAGEMENT,I18NCode for Member Management,Member Management,Mitgliederverwaltung,Yes
I18N_MEMBER_MECHANISMS,I18NCode for Member Mechanisms,Member Mechanisms,Mitgliedsmechanismen,Yes
I18N_MEMBER_SUPPORT_TASKS,I18NCode for Member Support Tasks,LT or MC Member Support Tasks,Aufgaben zur Unterstützung von LT- oder MC-Mitgliedern,Yes
I18N_MEMBERS,I18NCode for Members,Members,Mitglieder,Yes
I18N_MEMBERS___CHAPTERS,I18NCode for Members & Chapters,Chapters and Members,Kapitel und Mitglieder,Yes
I18N_MEMBERS_100_POINTS,I18NCode for Members 100 Points Page Title,100 Points,100 Punkte,Yes
I18N_MEMBERS_CHAPTER,I18NCode for members/chapter,members/chapter,Mitglieder/Kapitel,Yes
I18N_MEMBERS_COUNT,I18NCode for Members Count,Members count,Mitglieder zählen,Yes
I18N_MEMBERS_FALLING_IN_TL_FOR,"I18NCode for ""Members falling in TL for""",Members falling in TL for,"Mitglieder, die sich in TL verlieben",Yes
I18N_MEMBERS_IN_TRAFFIC_LIGHTS,I18NCode for Members in Traffic Lights,Members in Traffic Lights,Mitglieder in Ampeln,Yes
I18N_MEMBERS_LIST,I18NCode for Members List,Members List,Mitgliederliste,Yes
I18N_MEMBERS_PROFESSION,I18NCode for Members Profession,Member´s Profession,Beruf des Mitglieds,Yes
