Code,Description,Default_Translation (en-en),Target_Translation (pl-pl),Has_Translation
I18N_EXPORT_REPORT,I18NCode for label on export dropdown,Export Report,Export Report,Yes
I18N_EXPORT_TRANSLATIONS,I18NCode for Export Translations,Export Translations,Export Translations,Yes
I18N_EXTERNAL,I18NCode for External,External,External,Yes
I18N_FAILED_TO_CREATE_ACCOUNT,I18NCode for Failed To Create Account,Failed to create account,Failed to create account,Yes
I18N_FAILED_TO_RESET_PASSWORD,I18NCode for Failed to reset Password,Failed to reset Password,Failed to reset Password,Yes
I18N_FAILED_TO_SEND_EMAIL,I18NCode for Failed To Send Email,Failed to send email,Failed to send email,Yes
I18N_FALLING_MEMBERS,I18NCode for Falling members,Falling,Falling,Yes
I18N_FAQ_1,I18NCode for Faq 1,"Chapter President shows as ""N/A"", why?","Chapter President shows as ""N/A"", why?",Yes
I18N_FAQ_1_ANSWER,I18NCode for Faq 1 Answer,"When Chapter Leadership name shows as ""N/A"" it means that his/her email was changed. Need to update his/her email on reporting2you","When Chapter Leadership name shows as ""N/A"" it means that his/her email was changed. Need to update his/her email on reporting2you",Yes
I18N_FAQ_2,I18NCode for Faq 2,Where can I find Chapter Reports?,Where can I find Chapter Reports?,Yes
I18N_FAQ_2_ANSWER,I18NCode for Faq 2 Answer,"Go to Reports Menu click the plus sign (""+"") to open Chapters tree and then click on the chapters name, you will get the list of reports from current month to that chapter.<br/> If you want to get a previous report you should click the ""History"" item in the Chapters list and you will be able to get reports from the past 12 month.","Go to Reports Menu click the plus sign (""+"") to open Chapters tree and then click on the chapters name, you will get the list of reports from current month to that chapter.<br/> If you want to get a previous report you should click the ""History"" item in the Chapters list and you will be able to get reports from the past 12 month.",Yes
I18N_FAQS,I18NCode for Faqs,Faqs,Faqs,Yes
I18N_FAST__EFFICIENT_AND_PRODUCTIVE,"I18NCode for Fast, Efficient and Productive
","Fast, Efficient and Productive","Fast, Efficient and Productive",Yes
I18N_FEBRUARY,I18NCode for February,February,February,Yes
I18N_FEE,I18NCode for Fee,Fee,Fee,Yes
I18N_FILES,I18NCode for Files,Files,Files,Yes
I18N_FILL,I18NCode for Fill,Fill,Fill,Yes
I18N_FILL_CHAPTERS,I18NCode for Fill Chapters,Fill Chapters,Fill Chapters,Yes
I18N_FILTER,I18NCode for Filter,Filter,Filter,Yes
I18N_FILTER_OPTIONS,I18NCode for Filter Options,Filter options,Filter options,Yes
I18N_FIRST,I18NCode for First,First,First,Yes
I18N_FIRST_MEMBERS_IN_TRAFFIC_LIGHTS,I18NCode for First Members in Traffic Lights,First Members in Traffic Lights,First Members in Traffic Lights,Yes
I18N_FIRST_NAME,I18NCode for First Name label,First Name,First Name,Yes
I18N_FIRST_YEAR_RETAIN,I18NCode for First Year Retain,First Year,First Year,Yes
I18N_FIRST_YEAR_RETENTION,I18NCode for First Year Retention,First Year Retention,First Year Retention,Yes
I18N_FLAG,I18NCode for the flag,Flag,Flag,Yes
I18N_FOLLOW_UP,I18NCode for Follow Up Page in Tasks Menu,Follow Up,Follow Up,Yes
I18N_FOR,"i18NCode for ""For""",for,for,Yes
I18N_FOR_SUBSTITUTION,"I18NCode for ""For Substitution""",For Substitution,For Substitution,Yes
I18N_FORGOT_PASSWORD_,I18NCode for Forgot Password?,Forgot Password?,Forgot Password?,Yes
I18N_FORMATION,I18NCode for Formation,Formation,Formation,Yes
I18N_FORMATIONS,I18NCode for Formations,Formations,Formations,Yes
I18N_FORMATS,I18NCode for Formats,Formats,Formats,Yes
I18N_FRANCHISE,I18NCode for Franchise,Franchise,Franchise,Yes
I18N_FROM,I18Code for From,From,From,Yes
I18N_FUNCTIONAL_COOKIES,"I18NCode for Functional cookies
",Functional cookies,Functional cookies,Yes
I18N_FUTURE_RENEWALS,I18NCode for Future Renewals,Future Renewals,Future Renewals,Yes
I18N_GAME_RESULT,I18NCode for Game Result,Game result for,Game result for,Yes
I18N_GAMES,I18NCode for Games,Games,Games,Yes
I18N_GENERATE,I18NCode for Generate,Generate,Generate,Yes
I18N_GENERATE_TEAMS,I18NCode for Generate Teams,Automatically generate teams,Automatically generate teams,Yes
I18N_GET_DEFAULT,I18NCode for Get Default,Get Default,Get Default,Yes
I18N_GIVE_NO_REFERRALS_ON_LAST,I18NCode for Give No Referrals On Last,Give No Referrals On Last,Give No Referrals On Last,Yes
I18N_GIVEN_BUSINESS,I18NCode for Given Business Chart,Given Business,Given Business,Yes
I18N_GIVEN_REFERRALS,I18NCode for Given Referrals Chart,Given Referrals,Given Referrals,Yes
I18N_GOAL,I18NCode for Goal,Goal,Goal,Yes
I18N_GOAL_ABREV,I18NCode for Goal,Goal,Goal,Yes
I18N_GOAL_ABSENTISM_TOOLTIP,I18NCode for Goal Absentism Tooltip,Expected absence at the end of the period (ex: 2.5),Expected absence at the end of the period (ex: 2.5),Yes
I18N_GOAL_CEU_TOOLTIP,I18Ncode for Goal Ceu Tooltip,Chapter Education Units/member/week,Chapter Education Units/member/week,Yes
I18N_GOAL_CONVERSIONTOOLTIP,I18NCode for Goal ConversionTooltip,Average Conversion (ex: 17.5),Average Conversion (ex: 17.5),Yes
I18N_GOAL_ENTRIES_TOOLTIP,I18NCode for Goal Entries Tooltip,Number of expected new members in the period for all the context,Number of expected new members in the period for all the context,Yes
I18N_GOAL_EXIT_TOOLTIP,I18NNCode for Goal Exit Tooltip,Number of expected dropouts in the period for all the context,Number of expected dropouts in the period for all the context,Yes
I18N_GOAL_OTO_TOOLTIP,I18NCode for Goal oto Tooltip,1-2-1s/member/month,1-2-1s/member/month,Yes
I18N_GOAL_REFERRALS_TOOLTIP,I18NCode for Goal Referrals Tooltip,Referrals/member/week,Referrals/member/week,Yes
I18N_GOAL_RENEWALS,I18NCode for Goal Renewals in graphic,Renewals Goal,Renewals Goal,Yes
I18N_GOAL_RENOVATION_TOOLTIP,I18NCode for Goal Renovation Tooltip,Total submitted renewals at the end of the period,Total submitted renewals at the end of the period,Yes
I18N_GOAL_RETENTIONTOOLTIP,Goal RetentionTooltip,Desired Retention at the end of the period (ex: 70),Desired Retention at the end of the period (ex: 70),Yes
I18N_GOAL_SIZE_TOOLTIP,I18NCode for Goal Size Tooltip,Expected Average Chapter size at the end of the period,Expected Average Chapter size at the end of the period,Yes
I18N_GOAL_TRACKING,I18NCode for Goal Tracking,Goal Tracking,Goal Tracking,Yes
I18N_GOAL_TYFCB_TOOLTIP,I18NCode for Goal TYFCB Tooltip,Thank You For Closed Business,Thank You For Closed Business,Yes
I18N_GOAL_VISITS_TOOLTIP,I18NCode for Goal Visits Tooltip,Visitors/chapter/week,Visitors/chapter/week,Yes
I18N_GOALS,,Goals,Goals,Yes
I18N_GREATER_THAN_OR_EQUAL_TO_0,I18NCode for Greater Than Or Equal To 0,Greater than or equal to 0,Greater than or equal to 0,Yes
I18N_GREATER_THAN_OR_EQUAL_TO_2_FAULTS,I18NCode for Greater than or equal to 2 faults,greater than or equal to 2 faults,greater than or equal to 2 faults,Yes
I18N_GREEN,I18NCode for Green,Green,Green,Yes
I18N_GREEN_LABEL_INFO,I18NCode for Green Label Info,new members that reached Green,new members that reached Green,Yes
I18N_GRN,I18NCode for #Grn on table label,#Grn,#Grn,Yes
I18N_GROUP,I18NCode for Group,Group,Group,Yes
I18N_GROUP_CHAT,I18NCode for Group Chat,Group chat,Group chat,Yes
I18N_GROUP_CHATS_ONLY,"I18NCode for Group chats only
",Group chats only,Group chats only,Yes
I18N_GROUP_MECHANISMS,I18NCode for Group Mechanisms Page,Chapter Mechanisms,Chapter Mechanisms,Yes
I18N_GROUP_MEMBERS,I18NCode for Group Members,Group members,Group members,Yes
I18N_GROUPS,,Chapters,Chapters,Yes
I18N_GROW,I18NCode for Grow.,Grow.,Grow.,Yes
I18N_GROWTH,I18NCode for Growth,Growth,Growth,Yes
I18N_GROWTH_TRACKING_MECHANISMS,I18NCode for Growth Tracking Mechanisms,Growth Tracking Mechanisms,Growth Tracking Mechanisms,Yes
I18N_GRY,I18NCode for #Gry on table label,#Gry,#Gry,Yes
I18N_HAS_DEFINED_GOALS,"I18Ncode for Has defined goals
",with defined goals,with defined goals,Yes
I18N_HAS_FINANCIAL_DATA,I18NCode for Has Financial Data,Has Financial Data,Has Financial Data,Yes
I18N_HAS_GOAL,I18NCode for Has Goal,Has Goal,Has Goal,Yes
I18N_HAVE_YOU_ALREADY_RESET_THE_PASSWORD,I18NCode for Have You Already Reset The Password,Have you already reset the password?,Have you already reset the password?,Yes
I18N_HELP,I18NCode for Help,Help,Help,Yes
I18N_HELP_RESIZE_IMAGE_MODAL,"I18NCode for Drag to position, use the corners to resize the cropping area.
","Drag to position, use the corners to resize the cropping area.","Drag to position, use the corners to resize the cropping area.",Yes
I18N_HIDE_FROM_REPORT,I18NCode for Hide From Report,Hide From Report,Hide From Report,Yes
I18N_HOST_TEAM,I18NCode for Host Team,Host Team,Host Team,Yes
I18N_HOW,I18NCode for How,How,How,Yes
I18N_HOW_CAN_I_SETUP_TASKS_IN_REPORTING2YOU_AND_AUTOMATE_ZERO_TO_ONE_TASK,I18NCode for How can I setup Tasks in Reporting2You and automate Zero-To-One Task,How can I setup Tasks in Reporting2You and automate Zero-To-One Task,How can I setup Tasks in Reporting2You and automate Zero-To-One Task,Yes
I18N_HOW_DO_I,I18NCode for How do i,How do i...,How do i...,Yes
I18N_HOW_DO_WE_PROTECT_YOUR_INFORMATION,I18NCode for How do we protect your information,How do we protect your information?,How do we protect your information?,Yes
I18N_HOW_LONG_WILL_YOUR_INFORMATION_BE_HELD,I18NCode for How long will your information be held,How long will your information be held?,How long will your information be held?,Yes
I18N_HOW_THIS_INFORMATION_IS_USED,I18NCode for How this information is used,How this information is used?,How this information is used?,Yes
I18N_HOW_TO_IMPROVE,I18NCode for How to Improve,How do i improve,How do i improve,Yes
I18N_I_M_NEW_IN_REPORTING2YOU__IS_THERE_ANY_QUICK_OVERVIEW,I18NCode for I'm new in Reporting2You! Is there any quick overview,I'm new in Reporting2You! Is there any quick overview,I'm new in Reporting2You! Is there any quick overview,Yes
I18N_I18N_DESCRIPTION_IS_VERY_USEFUL,I18NCode for I18n Description is very Useful,Description is very useful,Description is very useful,Yes
I18N_I18N_WITH_HISTORY_,I18NCode for With History ,History,History,Yes
I18N_I18N_ZEROREF_W,I18NCode for ZeroREF/week,ZeroREF/W,ZeroREF/W,Yes
I18N_I18NCODES,I18NCodes for I18NCodes,I18N Codes,I18N Codes,Yes
I18N_ICON,I18NCode for Icon,Icon,Icon,Yes
I18N_IGNORED,I18NCode to Ignored,Ignored,Ignored,Yes
I18N_IMAGE_GAME,I18NCode for Image Game,Image Game,Image Game,Yes
I18N_IMAGE_UPLOAD_ERROR,I18NCode for Image Upload Error,Error submitting image.,Error submitting image.,Yes
I18N_IMAGE_UPLOAD_SUCCESS,I18NCode for Image Upload Success,Image submitted successfully.,Image submitted successfully.,Yes
I18N_IMPERSONATION_MODE,I18NCode for Impersonation Mode,Impersonation Mode,Impersonation Mode,Yes
I18N_IMPLEMENT_A_BNI_GAME,I18NCode for Implement a BNI Game,Implement a BNI Game,Implement a BNI Game,Yes
I18N_IMPLEMENT_GAME_NOTE,I18NCode for Implement Game Note,"Note:To configure this report to be sent to members, or Directors you need to go to Regional Administration -> Regional Settings and at the Reports section set who do you want to receive the BNI Game report.<br/>
After this, a report will be generated every Monday for each active BNI Game in your region.","Note:To configure this report to be sent to members, or Directors you need to go to Regional Administration -> Regional Settings and at the Reports section set who do you want to receive the BNI Game report.<br/>
After this, a report will be generated every Monday for each active BNI Game in your region.",Yes
I18N_IMPORT_TRANSLATIONS,I18NCode for Import Translations,Import Translations,Import Translations,Yes
I18N_IMPROVE,I18NCode for Improve,To improve,To improve,Yes
I18N_IN,I18NCode for In,In,In,Yes
I18N_IN_THE_LAST,I18NCode for In the Last,In the last,In the last,Yes
I18N_IN_THE_LASTS,I18NCode for In the Last,In the last,In the last,Yes
I18N_IN_THIS_DATE_RANGE_,"I18NCode for in this date range.
",in this date range.,in this date range.,Yes
I18N_INACTIVE,I18NCode for Inactive,Inactive,Inactive,Yes
I18N_INACTIVITY_NOTICE,"I18NCode for Inactivity Notice
",Inactivity notice,Inactivity notice,Yes
I18N_INCOMPLETE_DOWNLOAD,"I18NCode for Incomplete download
",Incomplete download,Incomplete download,Yes
I18N_INDICATORS,I18NCode for Indicators,Indicators,Indicators,Yes
I18N_INDUSTRY,I18NCode for Industry,Industry,Industry,Yes
I18N_INITIAL_COUNT,I18NCode for Initial Count,Initial Count,Initial Count,Yes
I18N_INITIATE_A_POLL,i18NCode for Initiate a Poll,Initiate a poll,Initiate a poll,Yes
I18N_INSERT_CODE,I18NCode for I18N name placeholder on modals	,Fill Code with I18N,Fill Code with I18N,Yes
I18N_INSERT_CONTEXT,I18NCode for Context name placeholder on modals	,Enter a name for the new module type,Enter a name for the new module type,Yes
I18N_INSERT_CONTEXT_DESCRIPTION,I18NCode for description placeholder modals	,Fill in the name of the new context,Fill in the name of the new context,Yes
I18N_INSERT_DESCRIPTION,I18NCode for I18N description placeholder on modals	, Fill with the I18NCode description, Fill with the I18NCode description,Yes
I18N_INSERT_DROP_FILES_TASK,I18NCode for the dropzone in task's modal,Drop the files here,Drop the files here,Yes
I18N_INSERT_LANGUAGE_DESCRIPTION,I18NCode for language description placeholder modals	,Fill in the description of the new language,Fill in the description of the new language,Yes
I18N_INSERT_LANGUAGE_NAME,I18NCode for language name placeholder modals	,Fill in the language  of the new language,Fill in the language  of the new language,Yes
I18N_INSERT_LANGUAGE_SHORTNAME,I18NCode for shortname placeholder modals	,Fill in the shortname of the new language,Fill in the shortname of the new language,Yes
I18N_INSERT_MECHANISMS,I18NCode for Insert Mechanisms,Insert Mechanisms,Insert Mechanisms,Yes
I18N_INSERT_MODULE,I18NCode for module name placeholder on modals, Fill in the name of the new module, Fill in the name of the new module,Yes
I18N_INSERT_MODULE_DESCRIPTION,I18NCode for description placeholder modals,Enter a name for the new module type,Enter a name for the new module type,Yes
I18N_INSERT_PROFILE_DESCRIPTION,I18NCode for Insert Profile Description,Insert Profile Description,Insert Profile Description,Yes
I18N_INSERT_PROFILE_NAME,I18NCode for Insert Profile Name,Insert Profile Name,Insert Profile Name,Yes
I18N_INSERT_TASK_DESCRIPTION,I18NCode for insert description in task's modal,Enter a Description,Enter a Description,Yes
I18N_INSERT_TRANSLATION_DESCRIPTION,I18NCode for translation description placeholder modals,Fill with the language description,Fill with the language description,Yes
I18N_INTERNAL,I18NCode for Internal,Internal,Internal,Yes
I18N_INVALID_CREDENTIALS,I18NCode for Invalid Credentials,Invalid credentials,Invalid credentials,Yes
I18N_INVALID_OR_EXPIRED_TOKEN,I18NCode for Invalid Or Expired Token,Invalid or Expired token,Invalid or Expired token,Yes
I18N_INVALID_TOKEN_,I18NCode for Invalid Token, <strong>Invalid Token!</strong> The token provided is invalid., <strong>Invalid Token!</strong> The token provided is invalid.,Yes
I18N_INVALID_USER_DATA,I18NCode for Invalid User Data,Invalid user data,Invalid user data,Yes
I18N_IS_REPORTING2YOU_GDPR_COMPLIANT,I18NCode for Is Reporting2You GDPR Compliant,Is Reporting2you GDPR compliant,Is Reporting2you GDPR compliant,Yes
I18N_IT_WAS_NOT_POSSIBLE_TO_LOAD_THE_MEMBERS,I18NCode for It was not possible to load the members,It was not possible to load the members,It was not possible to load the members,Yes
I18N_JANUARY,I18NCode for January,January,January,Yes
I18N_JOIN_DATE,"I18NCode for Join Date
",Join Date,Join Date,Yes
I18N_JULY,I18NCode for July,July,July,Yes
I18N_JUNE,I18NCode for June,June,June,Yes
I18N_KEY_METRICS,I18NCode for Key metrics,Key metrics,Key metrics,Yes
I18N_KINDLY_SUGGEST_THAT,I18NCode for Kindly suggest that,Kindly suggest that,Kindly suggest that,Yes
I18N_KPI,I18NCode for KPI's,Kpi's,Kpi's,Yes
I18N_KPI_CORRELATION,I18NCode for KPI Correlation,Kpi Correlation,Kpi Correlation,Yes
I18N_KPI_EVOLUTION,I18NCode for Kpi Evolution,KPI Evolution,KPI Evolution,Yes
I18N_KPI_GAME,I18NCode for Kpi Game,Kpi Game,Kpi Game,Yes
I18N_KPI_GAME_BNI,I18NCode for KPI Game BNI,KPI Game KPIS,KPI Game KPIS,Yes
I18N_KPI_SINGULAR,I18NCode for Kpi in singular,Kpi,Kpi,Yes
I18N_L,I18NCode for L,L,L,Yes
I18N_LANGUAGE,I18NCode for the language name 	,Language,Language,Yes
I18N_LANGUAGE_DESCRIPTION,I18NCode for language description,Description,Description,Yes
I18N_LANGUAGES,I18NCodes for Languages,Languages,Languages,Yes
I18N_LAST,I18NCode for Last,Last,Last,Yes
I18N_LAST_6_MONTHS,I18NCode for Last 6 Months,Last 6 Months,Last 6 Months,Yes
I18N_LAST_CLOSED_MONTH,I18NCode for Last Closed Month,Last Closed Month,Last Closed Month,Yes
I18N_LAST_MEMBERS_IN_TRAFFIC_LIGHTS,I18NCode for Last Members In Traffic Lights,Last Members in Traffic Lights,Last Members in Traffic Lights,Yes
I18N_LAST_MONTH,I18CodeN for last month,Last month:,Last month:,Yes
I18N_LAST_NAME,I18NCode for Last Name label,Last Name,Last Name,Yes
I18N_LAST_NEW_MEMBER,I18NCode for Last New Member,Last New Member,Last New Member,Yes
I18N_LAST_SPONSORSHIP,I18NCode for Last Sponsorship,Last Sponsorship,Last Sponsorship,Yes
I18N_LAST_SUBMITED_PALMS,I18NCode for Last submitted PALMS:,Last submitted PALMS,Last submitted PALMS,Yes
I18N_LAST_UPDATE,I18NCode for Last Update,Last Update,Last Update,Yes
I18N_LAST12MONTS,I18NCode for Last12Months,Last 12 Months ::,Last 12 Months ::,Yes
I18N_LASTMONTH_MENU,I18NCode for Last Month Side Bar Menu,Last Month,Last Month,Yes
I18N_LATE,I18NCode for Late,Late,Late,Yes
I18N_LATEST_REPORTS_RECEIVED,Latest Reports Received,Latest Reports Received,Latest Reports Received,Yes
I18N_LAUNCH,I18NCode for Launch,Launch,Launch,Yes
I18N_LAUNCH_DATE,I18NCode for Launch Date,Launch Date,Launch Date,Yes
I18N_LEADERSHIP_TEAM,I18NCode for Leadership Team,Leadership Team,Leadership Team,Yes
I18N_LEADERSHIP_TEAM_TRAFFIC_LIGHTS,"I18NCode for ""Leadership Team (LT) Traffic Lights""",Leadership Team (LT) Traffic Lights,Leadership Team (LT) Traffic Lights,Yes
I18N_LEAVING,I18NCode for Exiting,Leaving,Leaving,Yes
I18N_LENGTH_YEARS,I18NCode for Length(Years),Length (Years),Length (Years),Yes
I18N_LEVEL,I18NCode for Level,Level,Level,Yes
I18N_LOADING,I18NCode for Loading,Loading...,Loading...,Yes
I18N_LOADING_WARNING_MESSAGE,I18NCode for Loading Warning Message,"Attention!!! This procedure may take a considerable amount of time depending on the number of members, chapters and time interval.","Attention!!! This procedure may take a considerable amount of time depending on the number of members, chapters and time interval.",Yes
I18N_LOCATION___DETAILS,I18NCode for Location & Details,Location & details,Location & details,Yes
I18N_LOG_IN_TO_REPORTING2YOU,"I18NCode for Log In to Reporting2You
",Log In to Reporting2You,Log In to Reporting2You,Yes
I18N_LOG_OUT,I18NCode for Log Out,Logout,Logout,Yes
I18N_LOGIN_FAILED,I18NCode for Login Failed,Login Failed,Login Failed,Yes
I18N_LOGIN_WITH_EMAIL,"I18NCode for Login with email
",Login with email,Login with email,Yes
I18N_LT,I18NCode for LT,LT,LT,Yes
I18N_LT_SUSPEND_MEMBERSHIP,I18NCode for LT Suspend Membership,LT Suspend membership,LT Suspend membership,Yes
I18N_LT_SUSPEND_MEMBERSHIP_LABEL,I18NCode for LT Suspend Membership Label,Activate LT membership suspension,Activate LT membership suspension,Yes
I18N_LT_TRAFFIC_LIGHTS_SCORING_METHOD,"I18NCode for ""LT Traffic Lights Scoring Method""",LT Traffic Lights Scoring Method,LT Traffic Lights Scoring Method,Yes
I18N_M,I18NCode for M,M,M,Yes
I18N_MANAGE,I18NCode for manage.,Manage,Manage,Yes
I18N_MANAGE_CHAPTER_GOALS,I18NCode for Manage Chapter Goals,Manage Chapter Goals,Manage Chapter Goals,Yes
I18N_MANAGE_COUTRY_GOALS,I18NCode for Manage Coutry Goals,Manage Country Goals,Manage Country Goals,Yes
I18N_MANAGE_DIRECTOR_GOALS,I18NCode for Manage Director Goals,Manage Director Goal,Manage Director Goal,Yes
I18N_MANAGE_MULTIREGION_GOALS,I18NCode for Manage MultiRegion Goals,Manage Multiregion Goals,Manage Multiregion Goals,Yes
I18N_MANAGE_REGION_GOALS,I18NCode for Manage region goals,Manage Region Goals,Manage Region Goals,Yes
I18N_MANAGE_TASKS,I18NCode for Manage Tasks Menu,Manage your tasks,Manage your tasks,Yes
I18N_MANAGE_TEAM_GOALS,,Manage Team Goals,Manage Team Goals,Yes
I18N_MANAGE_YOUR_GOAL,I18NCode to Manage your goal,Manage your Goal!,Manage your Goal!,Yes
I18N_MARCH,I18NCode for March,March,March,Yes
I18N_MARKET,I18NCode for Market,Market,Market,Yes
I18N_MAX,I18NCode represent Max:,Max:,Max:,Yes
I18N_MAXIMUM,I18NCode for Maximum,File too large. The maximum size is 5MB.,File too large. The maximum size is 5MB.,Yes
I18N_MAY,I18NCode for May,May,May,Yes
I18N_MB,I18NCode for MB,MB,MB,Yes
I18N_MC,I18NCode for MC,MC,MC,Yes
I18N_MCKPI_DESCRIPTION,I18NCode for MCKPI Description,"This is a  <strong>monthly report</strong> that usually is sent to each Leadership Team every 3rd working day of the month.<br/>

It is a fantastic report that has two pages, in the first one you can see the Leadership Team members and the major chapter Key Performance Indicator for 12 and 6 months and at the second page, you will find the previous month Chapter Notable Networkers for Referrals, Business Given, One-to-Ones and Visitors.

It really saves time to LT and, if they print the report, they can use it at the Checkin Table...","This is a  <strong>monthly report</strong> that usually is sent to each Leadership Team every 3rd working day of the month.<br/>

It is a fantastic report that has two pages, in the first one you can see the Leadership Team members and the major chapter Key Performance Indicator for 12 and 6 months and at the second page, you will find the previous month Chapter Notable Networkers for Referrals, Business Given, One-to-Ones and Visitors.

It really saves time to LT and, if they print the report, they can use it at the Checkin Table...",Yes
I18N_MCKPI_MONTHLY_CHAPTER_KEY_PERFORMANCE_INDICATORS_REPORT,I18NCode for MCKPI - Monthly Chapter Key Performance Indicators Report,MCKPI - Monthly Chapter Key Performance Indicators Report,MCKPI - Monthly Chapter Key Performance Indicators Report,Yes
I18N_MCMTE_DESCRIPTION,I18NCode for MCMTE Description,"This is a <strong>monthly report</strong> that usually is sent to LT's and DC's (the ED must set who receives it, LT, DC...) every 3rd working day of the month.<br/>

The goal is to give LT's and Directors an update regarding their members performance evolution and also the ability to understand Mentors success.","This is a <strong>monthly report</strong> that usually is sent to LT's and DC's (the ED must set who receives it, LT, DC...) every 3rd working day of the month.<br/>

The goal is to give LT's and Directors an update regarding their members performance evolution and also the ability to understand Mentors success.",Yes
I18N_MCMTE_MONTHLY_MEMBER_TRAFFIC_LIGHTS_EVOLUTION_,I18NCode for MCMTE Monthly Member Traffic Lights Evolution ,MCMTE - Monthly Member Traffic Lights Evolution,MCMTE - Monthly Member Traffic Lights Evolution,Yes
I18N_MCMTL__MONTHLY_MEMBER_TRAFFIC_LIGHTS_REPORT,I18NCode for MCMTL - Monthly Member Traffic Lights Report,MCMTL - Monthly Member Traffic Lights Report,MCMTL - Monthly Member Traffic Lights Report,Yes
I18N_MCMTL_DESCRIPTION,I18NCode for MCMTL Description,"This is a <strong>monthly report</strong> that usually is sent each member (the ED decides who receives it, LT, DC...) every 3rd working day of the month.<br/>

The goal is to give each member enough information to understand where he needs to invest time in order to work is own VCP. If he opens the file with Adobe Acrobat Reader he can click his name and the system will tell him how many referrals, trainings, one-to-one, visitors, testimonials he needs to do to reach next color and Green... try it! It is really great.","This is a <strong>monthly report</strong> that usually is sent each member (the ED decides who receives it, LT, DC...) every 3rd working day of the month.<br/>

The goal is to give each member enough information to understand where he needs to invest time in order to work is own VCP. If he opens the file with Adobe Acrobat Reader he can click his name and the system will tell him how many referrals, trainings, one-to-one, visitors, testimonials he needs to do to reach next color and Green... try it! It is really great.",Yes
I18N_MCP_DESCRIPTION,I18NCode for Description,"This is a <strong>monthly report</strong> that usually is sent to the Leadership Team every 3rd working day of the month.<br/>

The goal is to give each Leadership and DC a tool to look for the principal Key Success Factor to fix (Power of One), because in this report it is so easy to understand the chapter evolution on each and every KSF and other KPI's","This is a <strong>monthly report</strong> that usually is sent to the Leadership Team every 3rd working day of the month.<br/>

The goal is to give each Leadership and DC a tool to look for the principal Key Success Factor to fix (Power of One), because in this report it is so easy to understand the chapter evolution on each and every KSF and other KPI's",Yes
I18N_MCP_MONTHLY_CHAPTER_PERFORMANCE_REPORT,I18NCode for MCP Monthly Chapter Performance Report,MCP - Monthly Chapter Performance Report,MCP - Monthly Chapter Performance Report,Yes
I18N_MDAA_DESCRIPTION,I18NCode for MDAA Description,"This is a <strong>monthly report</strong> that usually is sent to each AD every 3rd working day of the month.

The goal is to give, in only one report, the list of next 3 month renewals and identify on that list the members in member traffic lights RED or GRAY, and also complete list of what happened last month in the region (late, dropped , new and renewed members, members with 3 or more absences, members with 3 or more substitutions, PALMS monitoring and Directors Chapter Visits)","This is a <strong>monthly report</strong> that usually is sent to each AD every 3rd working day of the month.

The goal is to give, in only one report, the list of next 3 month renewals and identify on that list the members in member traffic lights RED or GRAY, and also complete list of what happened last month in the region (late, dropped , new and renewed members, members with 3 or more absences, members with 3 or more substitutions, PALMS monitoring and Directors Chapter Visits)",Yes
I18N_MDAA_MONTHLY_AREA_DIRECTOR_CONSULTANT_ALERT_REPORT,I18NCode for MDAA  Monthly Area Director Consultant Alert Report,MDAA - Monthly Area Director Consultant Alert Report,MDAA - Monthly Area Director Consultant Alert Report,Yes
I18N_MDAP_DESCRIPTION,I18NCode for MDAP Description,"This is a <strong>monthly report</strong> that usually is sent to each AD every 3rd working day of the month.<br/>

The goal is to give the AD a tool to look understand his performance and evolution on each and every KSF and other KPI's","This is a <strong>monthly report</strong> that usually is sent to each AD every 3rd working day of the month.<br/>

The goal is to give the AD a tool to look understand his performance and evolution on each and every KSF and other KPI's",Yes
I18N_MDAP_MONTHLY_AREA_DIRECTOR_CONSULTANT_PERFORMANCE_REPORT,I18NCode for MDAP Monthly Area Director Consultant Performance Report,MDAP - Monthly Area Director Consultant Performance Report,MDAP - Monthly Area Director Consultant Performance Report,Yes
I18N_MDCA_DESCRIPTION,I18NCode for MDCA,"This is a <strong>monthly report</strong> that usually is sent to each DC every 3rd working day of the month.<br/>

The goal is to give, in only one report, the list of next 3 month renewals and identify on that list the members in member traffic lights RED or GRAY, and also complete list of what happened last month in the region (late, dropped , new and renewed members, members with 3 or more absences, members with 3 or more substitutions, PALMS monitoring and Directors Chapter Visits)","This is a <strong>monthly report</strong> that usually is sent to each DC every 3rd working day of the month.<br/>

The goal is to give, in only one report, the list of next 3 month renewals and identify on that list the members in member traffic lights RED or GRAY, and also complete list of what happened last month in the region (late, dropped , new and renewed members, members with 3 or more absences, members with 3 or more substitutions, PALMS monitoring and Directors Chapter Visits)",Yes
I18N_MDCA_MONTHLY_DIRECTOR_CONSULTANT_ALERT_REPORT,I18NCode for MDCA  Monthly Director Consultant Alert Report,MDCA - Monthly Director Consultant Alert Report,MDCA - Monthly Director Consultant Alert Report,Yes
I18N_MDCP_DESCRIPTION,I18NCode for MDCP Description,"This is a <strong>monthly report</strong> that usually is sent to each DC every 3rd working day of the month.<br/>

The goal is to give the DC a tool to look understand his performance and evolution on each and every KSF and other KPI's","This is a <strong>monthly report</strong> that usually is sent to each DC every 3rd working day of the month.<br/>

The goal is to give the DC a tool to look understand his performance and evolution on each and every KSF and other KPI's",Yes
