Code,Description,Default_Translation (en-en),Target_Translation (lt-lt),Has_Translation
I18N_REGION_SIZE,I18NCode for Region Size ,Region Size,,No
I18N_REGIONAL,I18NCode for Regional,Regional,,No
I18N_REGIONAL_ADMINISTRATION,I18NCode for Regional Administration,Regional Administration,,No
I18N_REGIONAL_COUNT,I18NCode for Regional Count,Regional Count,,No
I18N_REGIONAL_COUNT_CONTACT_SPHERE,i18NCode for Regional Count Contact Sphere,Regional Count Contact Sphere,,No
I18N_REGIONAL_INFORMATION,I18NCode for regional information,Regional information,,No
I18N_REGIONAL_OPTION,I18NCode for Regional Option,Regional Option,,No
I18N_REGIONS,Region,Regions,,No
I18N_REGIONS__CHAPTERS__MEMBERS__AND_TEAMS,"I18NCode for Regions, Chapters, Members, and Teams","Regions, Chapters, Members and Teams",,No
I18N_REGIONS_EVOLUTION,I18nCode for Regions Evolution,Regions Evolution,,No
I18N_REGIONS_SUBSTITLE,I18NCode for Regions,Regions,,No
I18N_REGISTER,I18NCode for Register ,Register,,No
I18N_REGISTER_NEW_USER,I18NCode for Register New User,Register New User,,No
I18N_REGISTER_ONLY_FOR_R2Y_USERS,I18NCode for Register Only For R2Y Users,This register is only for Reporting2You users,,No
I18N_RELOAD_CHART,I18NCode for the Reload Chart Button,Reload Chart,,No
I18N_REMOVE_CONFIRMATION_BUTTON,I18NCode for Remove confirmation Button,"Yes, remove it!",,No
I18N_REMOVE_FROM_THE_GROUP,I18NCode for Remove from the group,Remove from the group,,No
I18N_REMOVE_IMAGE,I18NCode for Remove image,Remove image,,No
I18N_RENEW,I18NCode for Renew,Renew at,,No
I18N_RENEW_ABREVIATION,I18NCode for Renew Abreviation,Renew,,No
I18N_RENEW_SINGULAR,I18NCode for Renew word in singular,Renew,,No
I18N_RENEWALS,I18NCode for Renewals,Renewals,,No
I18N_RENEWALS_IS_REQUIRED,I18NCode for Renewals is required,Renewals is required,,No
I18N_RENEWS,I18NCode for Renews,Renew,,No
I18N_REPORT,I18NCode for Report,Report,,No
I18N_REPORT_DATE,I18NCode for Report Date in Datatables Pdf Export,Report date,,No
I18N_REPORT_NAME,I18NCode for Report Name,Report Name,,No
I18N_REPORTS,I18NCode for Reports,Reports,,No
I18N_REQUEST_NEW_TOKEN,I18NCode for Request New Token,Request New Token,,No
I18N_REQUIRED_CODE,Required Code,I18n Codes names is required to be unique.,,No
I18N_RES,I18NCode for Res,Res.,,No
I18N_RESET,I18NCode for Reset,Reset,,No
I18N_RESIZE_CHAPTER_IMAGE_,I18NCode for Resize Chapter Image ,Resize chapter image,,No
I18N_RESIZE_PROFILE_PICTURE,I18NCode for Resize profile picture,Resize profile picture,,No
I18N_RESPONDING_TO,"I18NCode for Responding to
",Responding to,,No
I18N_RESULT,I18NCode for Result,Result,,No
I18N_RET,I18NCode for Ret,Ret.,,No
I18N_RET_1Y,I18NCode for Ret 1Y,Ret.1Y,,No
I18N_RETAIN,I18NCode for Retain,Retain,,No
I18N_RETENTION,Retention,Retention,,No
I18N_RETENTION_IS_REQUIRED,I18NCode for Retention is required,Retention is required,,No
I18N_RETURN_TO_LIST,I18NCode for Return to list,Return to list,,No
I18N_RETURN_TO_LOGIN,I18NCode for Return to Login,Return to Login,,No
I18N_RETURN_TO_PREVIOUS_PAGE,I18NCode for Back to previous page,Return to previous page,,No
I18N_RG,I18NCode for RG,RG,,No
I18N_ROLE,I18NCode for Role,Role,,No
I18N_RR,I18NCode for RR,RR,,No
I18N_S,I18NCode for S,S,,No
I18N_SAVE,I18NCode for Save Button,Save,,No
I18N_SAVED_FILES,I18NCode for Saved Files,Saved Files,,No
I18N_SCHEDULED,I18NCode to scheduled,Scheduled,,No
I18N_SCHEDULED_DATE,I18NCode for Scheduled Date in Manage Tasks,Scheduled Date,,No
I18N_SEARCH,I18NCode for Search,Search,,No
I18N_SEARCH_BY,I18NCode for Search By label,Search by,,No
I18N_SEARCH_BY_PROFESSION,I18NCode for Search By Profession,Search by Profession,,No
I18N_SEARCH_CHAPTER,I18NCode for Search Chapter,Search Chapter,,No
I18N_SEARCH_CODEI18N,,Search Code I18N,,No
I18N_SEARCH_CONTEXT,I18NCode for search context bar,Search context,,No
I18N_SEARCH_COUNTRY,I18nCode for search country,Search Country,,No
I18N_SEARCH_COUNTRY_LASTMONTH,I18NCode for Search Country Last Month,,,No
I18N_SEARCH_DIRECTOR,I18NCode for Search Director Bar,Search Director,,No
I18N_SEARCH_FOR_A_CONTACT_TO_START_A_CONVERSATION_,I18NCode for Search for a contact to start a conversation.,Find a contact to start a conversation. (Minimum 3 characters),,No
I18N_SEARCH_LANGUAGE,I18NCode for search language bar,Search language,,No
I18N_SEARCH_MEMBER,I18NCode for Search Member/Chapter,Search Member,,No
I18N_SEARCH_MODULE,I18NCode for search module bar,Search module,,No
I18N_SEARCH_PROFILES,I18NCode for Search in Profiles Page,Search Profiles,,No
I18N_SEARCH_REGION,I18NCode for search region bar,Search Region,,No
I18N_SEARCH_TRANSLATION,I18NCode for search translation bar,Search translation,,No
I18N_SECONDS,I18NCode for seconds,seconds,,No
I18N_SEE_ALL_CONVERSATIONS,"I18NCode for See all conversations
",See all conversations,,No
I18N_SELECT_A_CHAT_OR_CREATE_A_NEW_ONE,I18NCode for Select a chat or create a new one,Select a chat or create a new one,,No
I18N_SELECT_A_LANGUAGE,I18NCode for Select a language,Select a language,,No
I18N_SELECT_AN_IMAGE_FIRST,I18NCode for Select an image First,Select an image first.,,No
I18N_SELECT_CHAPTER,I18NCode for Select Chapter,Select a Chapter,,No
I18N_SELECT_DIRECTOR,I18NCode for Select Director,Select a Director,,No
I18N_SELECT_IMAGE,I18NCode for Select Image,Select image,,No
I18N_SELECT_JUST_ONE_CONTACT,"I18NCode for Select just one contact
",Select just one contact,,No
I18N_SELECT_KPI,I18NCode for Select Kpi,Select KPI,,No
I18N_SEND,I18NCode for Send,Send,,No
I18N_SEND_A_PRIVATE_MESSAGE_TO_MULTIPLE_RECIPIENTS_SIMULTANEOUSLY_WITH_THE_SAME_CONTENT,I18NCode for Send a private message to multiple recipients simultaneously with the same content.,Send a private message to multiple users simultaneously with the same content.,,No
I18N_SEND_BROADCAST,I18NCode for Send Broadcast,Send broadcast,,No
I18N_SEND_EMAILS,I18NCode for Send Emails,Send Emails,,No
I18N_SENDING,I18NCode for Sending,Sending...,,No
I18N_SEPTEMBER,I18NCode for September,September,,No
I18N_SETUP,I18NCode for Setup,Setup,,No
I18N_SETUPNEWPASSWORD,I18NCode for SetupNewPassword,Setup New Password,,No
I18N_SHARING_BUTTON_COOKIES,"I18NCode for Sharing button cookies
",Sharing button cookies,,No
I18N_SHORT_NAME,I18NCode for the short name	,ShortName,,No
I18N_SHOW_ALL,I18NCode for Show All,Show all contact sphere,,No
I18N_SHOW_MEMBER_ON_THEIR,I18NCode for Show Member On Their,Show Member On Their,,No
I18N_SHOW_MEMBERS_RENEWING_OVER_THE_NEXT,I18NCode for Show Members Renewing Over The Next,Show Members Renewing Over The Next,,No
I18N_SHOW_ONLY_CE,I18NCode for Show Only CE,Show only chapter contacts sphere ,,No
I18N_SIGN_IN,I18NCode for Sign in,Sign In,,No
I18N_SIGN_OUT,I18NCode for Sign Out,Sign out,,No
I18N_SIGN_UP,I18NCode for Sign Up,Sign Up,,No
I18N_SINCE,I18NCode for Since,Since,,No
I18N_SIZE_GRAPH,I18NCode for Size on Graph,Size,,No
I18N_SIZE_IS_REQUIRED,I18NCode for Size is required,Size is required,,No
I18N_SOURCE,I18NCode for Source,Source,,No
I18N_SPONS,I18NCode for Spons,Spons,,No
I18N_SPONSOR_MODAL_TITTLE,I18NCode for SPONSOR Modal TIttle,List of Sponsored by,,No
I18N_SPONSOR_SINCE,I18NCode for Sponsor since,Sponsor since,,No
I18N_SPONSORED,I18NCode for Sponsored,Sponsored,,No
I18N_SPONSORED_CHAPTER_,I18NCode for Sponsored Chapter	,Sponsored Chapter,,No
I18N_SPONSORED_REGION_,I18NCode for Sponsored Region,Sponsored Region,,No
I18N_START_ACTIVE_CHAPTERS,I18NCode for Start Active Chapters,Start Active Chapter,,No
I18N_START_ACTIVE_MEMBERS,I18NCode for Start Active Members,Start Active Members,,No
I18N_START_DATE,I18NCode for Start Date,Start Date,,No
I18N_START_DATE_IS_REQUIRED,I18NCode for Start date is required,Start date é obrigatória,,No
I18N_START_MONITORING,I18NCode for Start Monitoring,Start Monitoring,,No
I18N_START_RETENTION,I18NCode for Start Retention,Start Retention,,No
I18N_START_VALUES,I18NCode for Start Values,Current Values,,No
I18N_STARTS_PROCESS,"I18NCode for ""Starts Process""",starts process,,No
I18N_STATUS,I18NCode for status label,Status,,No
I18N_STAY_ACTIVE,I18NCode for Stay Active,Stay active,,No
I18N_SUBJECT,I18NCode for Subject,Subject,,No
I18N_SUBMIT,I18NCode for the submit button,Submit,,No
I18N_SUBMIT_CHAT_MODAL,I18NCode for Submit Chat Modal,You just created a chat.,,No
I18N_SUBMIT_CONFIRM_BUTTON,I18NCode for Submit Confirm Button,"Ok, got it!",,No
I18N_SUBMIT_GOALS_WARNING_TEXT,I18NCode for Submit Goals Warning Text,Unable to create goal because one already exists in that date range,,No
I18N_SUBMIT_MODAL,I18NCode for Submit Modal Text,Form has been successfully submitted!,,No
I18N_SUBMIT_WARNING_TEXT,I18NCode for Submit Warning Text,"Sorry, looks like there are some errors detected, please try again.",,No
I18N_SUBSTITUTIONS,I18NCode for SUBSTITUTIONS,Substitutions,,No
I18N_SUCCESS,I18NCode for Success,Success,,No
I18N_SUSPENDED,I18NCode for Suspended,Suspended,,No
I18N_SUSPENDED_CHAPTERS,I18NCode for Suspended Chapters,Suspended Chapters,,No
I18N_SUSPENDED_MEMBERS,I18NCode for Suspended Members,Suspended Members,,No
I18N_SUSPENDED_MULTI,I18NCode for Suspended in Multi,Suspended,,No
I18N_SWITCH_TO,I18NCode for SWITCH TO,Switch to ,,No
I18N_SYSTEM_ERROR,I18NCode for System Error,System Error,,No
I18N_TASK,I18NCode for Task,Tasks,,No
I18N_TASK_TYPE,I18NCode for Task Type,Task Type,,No
I18N_TASKS_FOR_FALLING_MEMBERS,I18NCode for Tasks for Falling Members,Tasks for Falling Members,,No
I18N_TASKS_FOR_FALLING_MEMBERS_DESCRIPTION,I18NCode for Tasks for Falling Members Description,Activate tasks for falling members,,No
I18N_TASKS_FOR_MEMBERS_RENEWING,I18NCode for Tasks for Members Renewing,Tasks for Members Renewing,,No
I18N_TASKS_FOR_MEMBERS_RENEWING_DESCRIPTION,I18NCode for Tasks For Members Renewing Description,Activate tasks for members renewal,,No
I18N_TASKSTATUS,I18NCode for #TaskStatus in edit task modal,Task Status,,No
I18N_TEAM,I18NCode for Team,Team,,No
I18N_TEAM_INFORMATION,I18NCode for Team information,Team Information,,No
I18N_TEAM_MEMBER,I18NCode for Team Member,Team Member,,No
I18N_TEAM_MEMBERS,I18NCode for Team Members,Team Members,,No
I18N_TEAM_WORK,I18NCode for Team Work,Team Work,,No
I18N_TEAMS,I18NCode for Teams,Teams,,No
I18N_TELEPHONE_CONTACT,I18NCode for Telephone Contact,Telephone Contact,,No
I18N_TEST,I18NCode for Test,Test,,No
I18N_TESTIMONY,I18NCode for Testimony,Testimony,,No
I18N_THAN_PREVIOUS_MONTH,I18NCode for Than Previous Month,Than previous Month,,No
I18N_THANK_YOU_FOR_CLOSING_BUSINESS,I18NCode for THANK YOU FOR CLOSING BUSINESS,Thank you for closing business,,No
I18N_THE_CHAT_WAS_NOT_DELETED_,I18NCode for The chat was not deleted!,The chat was not deleted!,,No
I18N_THE_COOKIES_NECESSARY_FOR_NAVIGATION_ON_THE_SITE,"I18NCode for The cookies necessary for navigation on the site
",The cookies necessary for navigation on the site,,No
I18N_THE_EXPIRATION_DATE_AND_TIME_MUST_BE_LATER_THAN_THE_CURRENT_DATE_,I18NCode for The expiration date and time must be later than the current date.,The expiration date and time must be later than the current date.,,No
I18N_THE_POLL_MUST_HAVE_AT_LEAST_2_VALID_OPTIONS_,I18NCode for The poll must have at least 2 valid options.,The poll must have at least 2 valid options.,,No
I18N_THE_QUESTION_IS_MANDATORY,I18NCode for The question is mandatory,The question is mandatory.,,No
I18N_THE_REGION,I18NCode for The Region,The Region,,No
I18N_THE_REGION_IN_NUMBERS,I18NCode for The Region in Numbers,The Region in Numbers,,No
I18N_THE_TEAM,I18NCode for The Team,The Team,,No
I18N_THE_TOKEN_PROVIDED_IS_INVALID_OR_HAS_EXPIRED,I18NCode for Invalid Or Expired Token,The token provided is invalid or has expired,,No
I18N_THERE_ARE_NO_USERS_FROM_THIS_REGION,I18NCode for There are no users from this region,There are no users from this region,,No
I18N_THERE_IS_NO_DATA_FOR_THE_CURRENT_PROFILE,I18NCode for There is no data for the current profile,There is no data for the current profile,,No
I18N_TILL,I18NCode for Till,Till,,No
I18N_TIME,I18NCode for Time in Kpi Correlation Page,Time,,No
I18N_TIME_S_UP,I18NCode for Time's Up,Time's Up!,,No
I18N_TO,I18NCode from To,To,,No
I18N_TO_BELOW,"I18NCode for ""To Below""",To below,,No
I18N_TO_GREEN,I18NCode for To Green,To Green,,No
I18N_TO_GREEN_LABEL_INFO,I18NCode for To Green Label Info,month(s) to reach Green,,No
I18N_TO_RED,I18NCode for To Red,To Red,,No
I18N_TO_SCHEDULE,I18NCode To schedule,To Schedule,,No
I18N_TO_SHOW,I18NCode for To Show,to display.,,No
I18N_TO_YELLOW,I18NCode for To Yellow,To Yellow,,No
I18N_TOKEN_EXPIRED_MESSAGE,I18NCode for Token Expired Message,"<strong>Token Expired!</strong> Your activation Token has expired.
<br/>
Please request a new one to continue.",,No
I18N_TOOLS_TO_IMPROVE_PERFORMANCE,I18NCode for Tools to improve performance,Tools to improve performance,,No
I18N_TOP_3,I18NCode for Top3,Top 3,,No
I18N_TOTAL,I18NCode for Total,Total,,No
I18N_TOTAL_GROUPS,I18NCode for Total Groups,Total,,No
I18N_TOTAL_MEMBERS,I18NCode for Total Members,Total members,,No
I18N_TOTAL_NET_GROWTH,I18NCode for Total Net Growth,Total Net Growth,,No
I18N_TOTAL_SPONSORS,I18NCode for Total Sponsors,Total Sponsors,,No
I18N_TOTAL_TEAMS,I18NCode for Total Teams,Total teams,,No
I18N_TOTAL_TYFCB,I18NCode for Total TYFCB,Total,,No
I18N_TRADUCAOTESTE,TraducaoTeste,teste,,No
I18N_TRAFFIC_LIGHT_SYSTEM_LEADERSHIP_DESCRIPTION,I18NCode for Traffic Light System Leadership Description,Traffic light system for leadership,,No
I18N_TRAFFIC_LIGHTS,I18NCode for Traffic Lights,Traffic Lights,,No
I18N_TRAFFIC_LIGHTS_CHAPTERS,I18NCode for Traffic Lights Chapters,Traffic Ligths / Chapters,,No
I18N_TRAFFIC_LIGHTS_COUNTRY_,I18NCode for TRAFFIC LIGHTS Country	,Traffic Lights Country,,No
I18N_TRAFFIC_LIGHTS_EVOLUTION,I18NCode for Traffic Lights Evolution,Traffic Lights Evolution,,No
I18N_TRAFFIC_LIGHTS_EVOLUTION_COUNTRY,I18NCode for Traffic Lights Evolution Country,Traffic Lights Evolution Country,,No
I18N_TRAFFIC_LIGHTS_EVOLUTION_REGION,I18NCode for Traffic Lights Evolution Region Menu,Traffic Lights Evolution Region,,No
I18N_TRAFFIC_LIGHTS_MEMBERS,I18NCode for Traffic Lights Members,Traffic Lights / Members,,No
I18N_TRAFFIC_LIGHTS_MULTIREGION,I18NCode for Traffic Lights MultiRegion,Traffic Lights MultiRegion,,No
I18N_TRAFFIC_LIGHTS_REGION,I18NCode for Traffic Lights Region,Traffic Lights Region,,No
I18N_TRAINING_ATTENDANCE,I18NCode for Training Attendance Chart,Training Attendance,,No
I18N_TRANSLATED,I18NCode for Translated,Translated,,No
I18N_TRANSLATION,I18NCode for Translation,Translation,,No
I18N_TRANSLATION_INFORMATION_FOR,I18NCode for Translation Information For,Translation information for,,No
I18N_TRANSLATIONS,I18NCodes for translations,Translations,,No
I18N_TRANSLATIONS_DESCRIPTION,I18NCode for translations description,Description,,No
I18N_TRY_AGAIN,I18NCode for Try Again,Try again,,No
I18N_TYFCB,Thank you for closing business,TYFCB,,No
I18N_TYFCB_PER_MEMBER,I18NCode for TYFCB per Member,Per Member,,No
I18N_TYFCB_TOTAL,I18NCode for TYFCB total 12 meses,Total (12 months),,No
I18N_TYPE,I18NCode for Type,Type,,No
I18N_TYPE_OF_CONVERSATION,I18NCode for type of conversation,Chat type,,No
I18N_TYPES_OF_COOKIES_USED,I18NCode for Types of cookies used,Types of cookies used,,No
I18N_UNABLE_TO_PROCESS_YOUR_REQUEST,I18NCode for Unable To Process Your Request,Unable to process your request,,No
I18N_UP,I18NCode for Up,Up,,No
I18N_UPCOMING_RENEWALS,I18NCode for Upcoming Renewels page,Upcomming Renewals,,No
I18N_UPDATE,I18NCode update label header modal,Update,,No
I18N_UPDATE_CONTEXT,Update context label header modal	,Update ,,No
I18N_UPDATE_DATE_RANGE,"I18NCode for Update date range
",Update Date Range,,No
I18N_UPDATE_LANGUAGE,Update languagelabel header modal,Update,,No
I18N_UPDATE_MECHANISM,I18NCode for Update Mechanism,Update Mechanism,,No
I18N_UPDATE_MODULE,Update module label header modal	,Update,,No
I18N_UPDATE_TRANSLATIONS,Update translations label header modal,Update,,No
I18N_UPLOAD,I18NCode for Upload,Upload,,No
I18N_UPLOAD_FILE_ERROR,I18NCode for Upload File Error in dropzone,File size greater than 5 MB,,No
I18N_UPLOAD_FILES_SIZE,I18NCode for Upload Files Size label,Upload up to 2 files,,No
I18N_USAGES,I18NCode for Usages,Usages,,No
I18N_USE_8_OR_MORE_CHARACTERS_WITH_A_MIX_OF_LETTERS__NUMBERS___SYMBOLS_,"I18NCode for Use 8 or more characters with a mix of letters, numbers & symbols.
","Use 8 or more characters with a mix of letters, numbers & symbols.",,No
I18N_USER,I18NCode for User,User,,No
I18N_USER_CREATED_SUCCESSFULLY,I18NCode for User Created Successfully,User created successfully! Please check your email to complete registration.,,No
I18N_USER_DOES_NOT_EXIST,I18NCode for User Does Not Exist,User does not exist,,No
I18N_USER_EMAIL_NOT_FOUND,I18NCode for User/Email not found,User/Email not found,,No
I18N_USER_PROFILE,I18NCode for User Profile,User Profile,,No
I18N_USERNAME,I18NCode for UserName,Username,,No
I18N_USERS,I18NCode for Users,Users,,No
I18N_VALUE,I18NCode for Value,Value,,No
I18N_VIS_W,I18NCode for VisW,Vis/W,,No
I18N_VISI,I18NCode for Visi,Visi.,,No
I18N_VISION,I18NCode for Vision,Vision,,No
I18N_VISITORS,I18NCode for Visitors,Visitors,,No
I18N_VISITS_12_MONTHS,I18NCode for Visits (12 months),Visitors (12 month),,No
I18N_VISITS_IS_REQUIRED,I18NCode for Visits is required,Visits is required,,No
I18N_VISITS_NOT_QUALIFIED,I18NCode for Visits not qualified,Visits not Qualified,,No
I18N_VISITS_PER_WEEK__12_MONTHS_,I18NCode for Visits per Week (12 months),Visitors per Week (12 month),,No
I18N_VISNQ,I18NCode for VisNQ,VISNQ,,No
I18N_WARNING,Warning!,Warning!,,No
I18N_WARNING_ADD_TEAM,I18NCode for Warning Add team,You are adding a new team to the game.,,No
I18N_WARNING_MESSAGE,Warning message on I18NCode Update Modal,By editing the I18N Code you must remove the 'I18N' text and '_' between Words.,,No
I18N_WARNING_MESSAGE_ADD_KPI,I18NCode for Warning Message Add Kpi,You are adding a new Kpi to the game.,,No
I18N_WARNING_MESSAGE_AUTOMATIC_GENERATOR,I18NCode for Warning message Automatic Generator,You're automatically generating teams for the game. Auto-generating teams will remove all previous teams from the game.,,No
I18N_WARNING_MESSAGE_CHAPTER_GOAL,I18NCode for Warning Message Chapter Goal,"You are editing chapter objectives, calculations are disabled, make sure you are absolutely sure before proceeding.",,No
I18N_WARNING_MESSAGE_CONTEXT,Warning message on context Update Modal,"By editing the Context Type, you might break the system permissions functionality. Please ensure you're absolutely certain before proceeding.",,No
I18N_WARNING_MESSAGE_COUNTRY_GOAL,I18NCode for Warning Message Country GOAL,"You are editing country objectives, calculations are disabled, make sure you are absolutely sure before proceeding.",,No
I18N_WARNING_MESSAGE_DIRECTOR_GOAL,I18NCode for Warning Message on Modal Update Director goal menu,"You are editing director objectives, calculations are disabled, make sure you are absolutely sure before proceeding.",,No
I18N_WARNING_MESSAGE_EDIT_TEAM,I18NCode for Warning Message Edit Team,"You are editing a team, make sure you are absolutely sure before proceeding.",,No
I18N_WARNING_MESSAGE_GROUP_MECHANISMS,I18NCode for Warning Message in Group Mechanisms Update Modal,"You are editing chapter mechanisms, make sure you are absolutely sure before proceeding.",,No
I18N_WARNING_MESSAGE_LANGUAGE,Warning message on language Update Modal,"By editing the Language translation, you might break the system permissions functionality. Please ensure you're absolutely certain before proceeding.",,No
I18N_WARNING_MESSAGE_MEMBER_MECHANISMS,I18NCode for Warning Message Member Mechanisms,"You are editing member mechanisms, make sure you are absolutely sure before proceeding.",,No
I18N_WARNING_MESSAGE_MENU,I18NCode for Warning Message on Menu,"By editing the permission Menu, you might break the system permissions functionality. Please ensure you're absolutely certain before  proceeding.",,No
I18N_WARNING_MESSAGE_MODULE,Warning message on module Update Modal	,"By editing the Module Type, you might break the system permissions functionality. Please ensure you're absolutely certain before proceeding.",,No
I18N_WARNING_MESSAGE_MULTI_REGION_GOAL,I18NCode for I18NCode for Warning Message Multi Region GOAL,"You are editing multi region objectives, calculations are disabled, make sure you are absolutely sure before proceeding.",,No
I18N_WARNING_MESSAGE_NO_GAMES,I18NCode for WARNING MESSAGE NO Games,Start by adding a bni game.,,No
I18N_WARNING_MESSAGE_NO_KPI_ON_GAME,I18NCode for Warning Message No Kpi On Game,Start by adding a KPI to a game.,,No
I18N_WARNING_MESSAGE_NO_TEAMS,I18NCode for Warning message No Teams,Start by creating Teams for your BNI Game.,,No
I18N_WARNING_MESSAGE_PROFILE,Warning message on Update Modal in Profile Page,"By editing the Context Type, you can break the system's permissions functionality. Make sure you are absolutely sure before proceeding.",,No
I18N_WARNING_MESSAGE_REGION_GOAL,I18NCode for Warning message on Modal update region goal menu,"You are editing region objectives, calculations are disabled, make sure you are absolutely sure before proceeding.",,No
I18N_WARNING_MESSAGE_TRANSLATION,Warning message on translation Update Modal,By editing the translation will update the description for the specific CodeI18N.,,No
I18N_WCA_DESCRIPTION,I19NCode for WCA description,"This is a <strong>weekly report</strong> that usually is sent to each <strong>Leadership Team</strong> every Monday 9PM.<br/>

The goal is to give information that President (Chapter Director in England), Vice-President and Secretary/Treasurer usually needs to dig on several BNIConnect reports to run their role.<br/>

With this report, the President can easily select the meeting stimulant or his final words to the meeting.<br/>

The Vice-President can understand who needs special attention and work with his coordinators to improve member performance.<br/>

The Events Coordinator understands who is not attending training and needs special motivational speech to do it.",,No
I18N_WCA_WEEKLY_CHAPTER_ALERT_REPORT,I18NCode for WCA Weekly Chapter Alert Report,WCA - Weekly Chapter Alert Report,,No
I18N_WE_NEED_YOU_TO_UPLOAD_A_PHOTO_OF_YOURSELF_,I18NCode for We need you to upload a photo of yourself.,We need you to upload a photo of yourself,,No
I18N_WE_NEED_YOUR_ATTENTION,I18NCode for We need your Attention,We need your attention,,No
I18N_WEBSITE,I18NCode for website,Website,,No
I18N_WEEK_MEMBER_6AM,I18nCode for /week/member (6m),/week/member (6m),,No
I18N_WEEKLY_ALERT_REPORTS_SETTINGS,I18NCode for Weekly Alert Reports Settings,Weekly Alert Reports Settings,,No
I18N_WEEKS,I18NCode for Weeks,Weeks,,No
I18N_WELCOME,Welcome message,Welcome,,No
I18N_WELCOME_TO_REPORTING2YOU_,I18NCode for Welcome to Reporting2You!,Welcome to Reporting2You,,No
I18N_WELCOME_TO_THE_MESSAGING_CHAT,I18NCode for Welcome to the messaging chat,Welcome to the Messaging Chat,,No
I18N_WHAT_AREY_OUR_RIGHTS,I18NCode for What are your rights,What are your rights?,,No
I18N_WHAT_INFORMATION_DO_WE_COLLECT_ABOUT_YOU,I18NCode for What information do we collect about you,What information do we collect about you?,,No
I18N_WHAT_IS_A_COOKIE,I18NCode for What is a Cookie,What is a Cookie?,,No
I18N_WHAT_IS_OUR_LEGAL_BASIS_FOR_PROCESSING_YOUR_PERSONAL_DATA,I18NCode for What is our legal basis for processing your personal data,What is our legal basis for processing your personal data?,,No
I18N_WHO_ARE_WE,I18NCode for Who are we,Who we are?,,No
I18N_WHO_RECEIVES_YOUR_INFORMATION,I18NCode for Who receives your information,Who receives your information?,,No
I18N_WITH_LESS_THAN,"I18NCode for ""With Less than""",With Less than,,No
I18N_WITH_THIS_MEMBERSHIP_LENGTH,I18NCode for With this Membership length,with this membership length,,No
I18N_WITHOUT,I18NCode for Without,Without,,No
I18N_WITHOUT_PAYMENT,I18NCode for Without Payment,Without Payment,,No
I18N_WORLD_RANK,I18NCode for World Rank ,World Rank,,No
I18N_WRITE_A_MESSAGE,I18NCode for Write a message,Write a message,,No
I18N_WRITE_THE_MESSAGE_TO_SEND_TO_EVERYONE,I18NCode for Write the message to send to everyone,Write the message to send to everyone,,No
I18N_WRONG_FILE_SELECTED,I18NCode for Wrong File Selected,Error selecting file.,,No
I18N_YEAR,I18NCode for Year,Year,,No
I18N_YEARMONTH,I18NCode for YearMonth,YearMonth,,No
I18N_YEARS,I18NCode for Years,Years,,No
I18N_YES,I18NCode for Yes,Yes,,No
I18N_YLW,I18NCode for #Ylw on table label,#Ylw,,No
I18N_YOU_HAVE_BEEN_INVITED_TO_REGISTER_WITH_REPORTING2YOU_,I18NCode for You have been invited to register with Reporting2You.,You have been invited to register with Reporting2You.,,No
I18N_YOU_HAVE_NO_SPONSORED,I18NCode for You have no sponsored,You have no sponsored,,No
I18N_YOU_WILL_BE_REDIRECTED_TO_THE_LOGIN_PAGE_IN,I18NCode for You will be redirected to the login page in,You will be redirected to the login page in,,No
I18N_YOUR_CHAPTER,i18NCode for Your Chapter,Your Chapter,,No
I18N_YOUR_GOAL,I18NCode represent % of your goal,% of goal,,No
I18N_YOUR_SESSION_WILL_BE_INACTIVE_IN,I18NCode for Your session will be inactive in,Your session will be inactive in,,No
I18N_ZERO_ONE_TO_ONES_PER_WEEK,I18NCode for ZeroOneToOne per Week,Zero one to ones per week,,No
I18N_ZERO_REFERRALS,I18NCode for Zero Referrals,Zero Referrals,,No
I18N_ZERO_REFERREALS_PER_WEEK,I18NCode for ZEROReferrals,Zero referrals per Week,,No
I18N_ZERO_TO_ONE,I18NCode for Zero To One´s Section in Region Retention Growth,Zero-to-Ones,,No
I18N_ZERO_TYFCB_PER_WEEK,I18NCode for Zero TYFCB per Week,Zero TYFCB per week,,No
I18N_ZERO_VISITS_PER_WEEK,I18NCode for ZeroVisits per Week,Zero visitors per month,,No
I18N_ZEROOTO_W,I18NCode for ZeroOTO/week,ZeroOTO/W,,No
I18N_ZEROTYFCB_W,I18NCode for ZeroTYFCB/week,ZeroTYFCB/W,,No
I18N_ZEROVIS_M,I18NCode for ZeroVIS/month,ZeroVIS/M,,No
I18N_ZIP_CODE,I18NCode for Zip Code,Zip Code,,No
