Code,Description,Default_Translation (en-en),Target_Translation (bg-bg),Has_Translation
I18N_GOAL_SIZE_TOOLTIP,I18NCode for Goal Size Tooltip,Expected Average Chapter size at the end of the period,Очакван среден размер на глава в края на периода,Yes
I18N_GOAL_TRACKING,I18NCode for Goal Tracking,Goal Tracking,Проследяване на цели,Yes
I18N_GOAL_TYFCB_TOOLTIP,I18NCode for Goal TYFCB Tooltip,Thank You For Closed Business,Благодарим ви за приключения бизнес,Yes
I18N_GOAL_VISITS_TOOLTIP,I18NCode for Goal Visits Tooltip,Visitors/chapter/week,Посетители/глава/седмица,Yes
I18N_GOALS,,Goals,Посетители/глава/седмица,Yes
I18N_GREATER_THAN_OR_EQUAL_TO_0,I18NCode for Greater Than Or Equal To 0,Greater than or equal to 0,По-голямо или равно на 0,Yes
I18N_GREATER_THAN_OR_EQUAL_TO_2_FAULTS,I18NCode for Greater than or equal to 2 faults,greater than or equal to 2 faults,по-голяма или равна на 2 грешки,Yes
I18N_GREEN,I18NCode for Green,Green,Зелено,Yes
I18N_GREEN_LABEL_INFO,I18NCode for Green Label Info,new members that reached Green,"нови членове, които достигнаха Green",Yes
I18N_GRN,I18NCode for #Grn on table label,#Grn,#грн,Yes
I18N_GROUP,I18NCode for Group,Group,Група,Yes
I18N_GROUP_CHAT,I18NCode for Group Chat,Group chat,Групов чат,Yes
I18N_GROUP_CHATS_ONLY,"I18NCode for Group chats only
",Group chats only,Само групови чатове,Yes
I18N_GROUP_MECHANISMS,I18NCode for Group Mechanisms Page,Chapter Mechanisms,Глава Механизми,Yes
I18N_GROUP_MEMBERS,I18NCode for Group Members,Group members,Членове на групата,Yes
I18N_GROUPS,,Chapters,глави,Yes
I18N_GROW,I18NCode for Grow.,Grow.,растат.,Yes
I18N_GROWTH,I18NCode for Growth,Growth,Растеж,Yes
I18N_GROWTH_TRACKING_MECHANISMS,I18NCode for Growth Tracking Mechanisms,Growth Tracking Mechanisms,Механизми за проследяване на растежа,Yes
I18N_GRY,I18NCode for #Gry on table label,#Gry,#Гри,Yes
I18N_HAS_DEFINED_GOALS,"I18Ncode for Has defined goals
",with defined goals,с определени цели,Yes
I18N_HAS_FINANCIAL_DATA,I18NCode for Has Financial Data,Has Financial Data,Has Financial Data,Yes
I18N_HAS_GOAL,I18NCode for Has Goal,Has Goal,Има цел,Yes
I18N_HAVE_YOU_ALREADY_RESET_THE_PASSWORD,I18NCode for Have You Already Reset The Password,Have you already reset the password?,Задали ли сте вече паролата?,Yes
I18N_HELP,I18NCode for Help,Help,Помощ,Yes
I18N_HELP_RESIZE_IMAGE_MODAL,"I18NCode for Drag to position, use the corners to resize the cropping area.
","Drag to position, use the corners to resize the cropping area.","Плъзнете до позиция, използвайте ъглите, за да промените размера на областта за изрязване.",Yes
I18N_HIDE_FROM_REPORT,I18NCode for Hide From Report,Hide From Report,Скриване от отчета,Yes
I18N_HOST_TEAM,I18NCode for Host Team,Host Team,Екип домакин,Yes
I18N_HOW,I18NCode for How,How,как,Yes
I18N_HOW_CAN_I_SETUP_TASKS_IN_REPORTING2YOU_AND_AUTOMATE_ZERO_TO_ONE_TASK,I18NCode for How can I setup Tasks in Reporting2You and automate Zero-To-One Task,How can I setup Tasks in Reporting2You and automate Zero-To-One Task,Как мога да настроя задачи в Reporting2You и да автоматизирам задача нула към едно,Yes
I18N_HOW_DO_I,I18NCode for How do i,How do i...,как да...,Yes
I18N_HOW_DO_WE_PROTECT_YOUR_INFORMATION,I18NCode for How do we protect your information,How do we protect your information?,Как защитаваме вашата информация?,Yes
I18N_HOW_LONG_WILL_YOUR_INFORMATION_BE_HELD,I18NCode for How long will your information be held,How long will your information be held?,Колко дълго ще се съхранява вашата информация?,Yes
I18N_HOW_THIS_INFORMATION_IS_USED,I18NCode for How this information is used,How this information is used?,Как се използва тази информация?,Yes
I18N_HOW_TO_IMPROVE,I18NCode for How to Improve,How do i improve,Как да подобря,Yes
I18N_I_M_NEW_IN_REPORTING2YOU__IS_THERE_ANY_QUICK_OVERVIEW,I18NCode for I'm new in Reporting2You! Is there any quick overview,I'm new in Reporting2You! Is there any quick overview,Нов съм в Reporting2You!,Yes
I18N_I18N_DESCRIPTION_IS_VERY_USEFUL,I18NCode for I18n Description is very Useful,Description is very useful,Описанието е много полезно,Yes
I18N_I18N_WITH_HISTORY_,I18NCode for With History ,History,История,Yes
I18N_I18N_ZEROREF_W,I18NCode for ZeroREF/week,ZeroREF/W,ZeroREF/W,Yes
I18N_I18NCODES,I18NCodes for I18NCodes,I18N Codes,I18N кодове,Yes
I18N_ICON,I18NCode for Icon,Icon,Икона,Yes
I18N_IGNORED,I18NCode to Ignored,Ignored,Игнорирани,Yes
I18N_IMAGE_GAME,I18NCode for Image Game,Image Game,Игра с изображения,Yes
I18N_IMAGE_UPLOAD_ERROR,I18NCode for Image Upload Error,Error submitting image.,Грешка при изпращане на изображение.,Yes
I18N_IMAGE_UPLOAD_SUCCESS,I18NCode for Image Upload Success,Image submitted successfully.,Изображението е изпратено успешно.,Yes
I18N_IMPERSONATION_MODE,I18NCode for Impersonation Mode,Impersonation Mode,Режим на имитация,Yes
I18N_IMPLEMENT_A_BNI_GAME,I18NCode for Implement a BNI Game,Implement a BNI Game,Внедрете BNI игра,Yes
I18N_IMPLEMENT_GAME_NOTE,I18NCode for Implement Game Note,"Note:To configure this report to be sent to members, or Directors you need to go to Regional Administration -> Regional Settings and at the Reports section set who do you want to receive the BNI Game report.<br/>
After this, a report will be generated every Monday for each active BNI Game in your region.",Внедрете BNI игра,Yes
I18N_IMPORT_TRANSLATIONS,I18NCode for Import Translations,Import Translations,Импортиране на преводи,Yes
I18N_IMPROVE,I18NCode for Improve,To improve,За подобряване,Yes
I18N_IN,I18NCode for In,In,в,Yes
I18N_IN_THE_LAST,I18NCode for In the Last,In the last,В последния,Yes
I18N_IN_THE_LASTS,I18NCode for In the Last,In the last,В последния,Yes
I18N_IN_THIS_DATE_RANGE_,"I18NCode for in this date range.
",in this date range.,в този период от време.,Yes
I18N_INACTIVE,I18NCode for Inactive,Inactive,Неактивен,Yes
I18N_INACTIVITY_NOTICE,"I18NCode for Inactivity Notice
",Inactivity notice,Известие за неактивност,Yes
I18N_INCOMPLETE_DOWNLOAD,"I18NCode for Incomplete download
",Incomplete download,Непълно изтегляне,Yes
I18N_INDICATORS,I18NCode for Indicators,Indicators,Индикатори,Yes
I18N_INDUSTRY,I18NCode for Industry,Industry,Индустрия,Yes
I18N_INITIAL_COUNT,I18NCode for Initial Count,Initial Count,Първоначално преброяване,Yes
I18N_INITIATE_A_POLL,i18NCode for Initiate a Poll,Initiate a poll,Инициирайте анкета,Yes
I18N_INSERT_CODE,I18NCode for I18N name placeholder on modals	,Fill Code with I18N,Попълнете кода с I18N,Yes
I18N_INSERT_CONTEXT,I18NCode for Context name placeholder on modals	,Enter a name for the new module type,Въведете име за новия тип модул,Yes
I18N_INSERT_CONTEXT_DESCRIPTION,I18NCode for description placeholder modals	,Fill in the name of the new context,Попълнете името на новия контекст,Yes
I18N_INSERT_DESCRIPTION,I18NCode for I18N description placeholder on modals	, Fill with the I18NCode description,Попълнете описанието на I18NCode,Yes
I18N_INSERT_DROP_FILES_TASK,I18NCode for the dropzone in task's modal,Drop the files here,Пуснете файловете тук,Yes
I18N_INSERT_LANGUAGE_DESCRIPTION,I18NCode for language description placeholder modals	,Fill in the description of the new language,Попълнете описанието на новия език,Yes
I18N_INSERT_LANGUAGE_NAME,I18NCode for language name placeholder modals	,Fill in the language  of the new language,Попълнете езика на новия език,Yes
I18N_INSERT_LANGUAGE_SHORTNAME,I18NCode for shortname placeholder modals	,Fill in the shortname of the new language,Попълнете краткото име на новия език,Yes
I18N_INSERT_MECHANISMS,I18NCode for Insert Mechanisms,Insert Mechanisms,Механизми за вмъкване,Yes
I18N_INSERT_MODULE,I18NCode for module name placeholder on modals, Fill in the name of the new module,Попълнете името на новия модул,Yes
I18N_INSERT_MODULE_DESCRIPTION,I18NCode for description placeholder modals,Enter a name for the new module type,Въведете име за новия тип модул,Yes
I18N_INSERT_PROFILE_DESCRIPTION,I18NCode for Insert Profile Description,Insert Profile Description,Въведете описание на профила,Yes
I18N_INSERT_PROFILE_NAME,I18NCode for Insert Profile Name,Insert Profile Name,Въведете име на профил,Yes
I18N_INSERT_TASK_DESCRIPTION,I18NCode for insert description in task's modal,Enter a Description,Въведете описание,Yes
I18N_INSERT_TRANSLATION_DESCRIPTION,I18NCode for translation description placeholder modals,Fill with the language description,Попълнете описанието на езика,Yes
I18N_INTERNAL,I18NCode for Internal,Internal,Вътрешен,Yes
I18N_INVALID_CREDENTIALS,I18NCode for Invalid Credentials,Invalid credentials,Невалидни идентификационни данни,Yes
I18N_INVALID_OR_EXPIRED_TOKEN,I18NCode for Invalid Or Expired Token,Invalid or Expired token,Невалиден или изтекъл токен,Yes
I18N_INVALID_TOKEN_,I18NCode for Invalid Token, <strong>Invalid Token!</strong> The token provided is invalid.,<strong>Невалиден токен!</strong> Предоставеният токен е невалиден.,Yes
I18N_INVALID_USER_DATA,I18NCode for Invalid User Data,Invalid user data,Невалидни потребителски данни,Yes
I18N_IS_REPORTING2YOU_GDPR_COMPLIANT,I18NCode for Is Reporting2You GDPR Compliant,Is Reporting2you GDPR compliant,Съвместим ли е Reporting2you с GDPR,Yes
I18N_IT_WAS_NOT_POSSIBLE_TO_LOAD_THE_MEMBERS,I18NCode for It was not possible to load the members,It was not possible to load the members,Не беше възможно да се заредят членовете,Yes
I18N_JANUARY,I18NCode for January,January,януари,Yes
I18N_JOIN_DATE,"I18NCode for Join Date
",Join Date,Дата на присъединяване,Yes
I18N_JULY,I18NCode for July,July,юли,Yes
I18N_JUNE,I18NCode for June,June,юни,Yes
I18N_KEY_METRICS,I18NCode for Key metrics,Key metrics,Ключови показатели,Yes
I18N_KINDLY_SUGGEST_THAT,I18NCode for Kindly suggest that,Kindly suggest that,Любезно предложете това,Yes
I18N_KPI,I18NCode for KPI's,Kpi's,KPI,Yes
I18N_KPI_CORRELATION,I18NCode for KPI Correlation,Kpi Correlation,Kpi корелация,Yes
I18N_KPI_EVOLUTION,I18NCode for Kpi Evolution,KPI Evolution,Еволюция на KPI,Yes
I18N_KPI_GAME,I18NCode for Kpi Game,Kpi Game,Kpi игра,Yes
I18N_KPI_GAME_BNI,I18NCode for KPI Game BNI,KPI Game KPIS,KPI Игра KPIS,Yes
I18N_KPI_SINGULAR,I18NCode for Kpi in singular,Kpi,Kpi,Yes
I18N_L,I18NCode for L,L,Л,Yes
I18N_LANGUAGE,I18NCode for the language name 	,Language,език,Yes
I18N_LANGUAGE_DESCRIPTION,I18NCode for language description,Description,Описание,Yes
I18N_LANGUAGES,I18NCodes for Languages,Languages,Езици,Yes
I18N_LAST,I18NCode for Last,Last,Последно,Yes
I18N_LAST_6_MONTHS,I18NCode for Last 6 Months,Last 6 Months,Последните 6 месеца,Yes
I18N_LAST_CLOSED_MONTH,I18NCode for Last Closed Month,Last Closed Month,Последен затворен месец,Yes
I18N_LAST_MEMBERS_IN_TRAFFIC_LIGHTS,I18NCode for Last Members In Traffic Lights,Last Members in Traffic Lights,Последни членове в Светофари,Yes
I18N_LAST_MONTH,I18CodeN for last month,Last month:,миналия месец:,Yes
I18N_LAST_NAME,I18NCode for Last Name label,Last Name,Фамилия,Yes
I18N_LAST_NEW_MEMBER,I18NCode for Last New Member,Last New Member,Последен нов член,Yes
I18N_LAST_SPONSORSHIP,I18NCode for Last Sponsorship,Last Sponsorship,Последно спонсорство,Yes
I18N_LAST_SUBMITED_PALMS,I18NCode for Last submitted PALMS:,Last submitted PALMS,Последно изпратен PALMS,Yes
I18N_LAST_UPDATE,I18NCode for Last Update,Last Update,Последна актуализация,Yes
I18N_LAST12MONTS,I18NCode for Last12Months,Last 12 Months ::,Последните 12 месеца ::,Yes
I18N_LASTMONTH_MENU,I18NCode for Last Month Side Bar Menu,Last Month,Миналия месец,Yes
I18N_LATE,I18NCode for Late,Late,Късно,Yes
I18N_LATEST_REPORTS_RECEIVED,Latest Reports Received,Latest Reports Received,Последни получени отчети,Yes
I18N_LAUNCH,I18NCode for Launch,Launch,Стартирайте,Yes
I18N_LAUNCH_DATE,I18NCode for Launch Date,Launch Date,Дата на стартиране,Yes
I18N_LEADERSHIP_TEAM,I18NCode for Leadership Team,Leadership Team,Лидерски екип,Yes
I18N_LEADERSHIP_TEAM_TRAFFIC_LIGHTS,"I18NCode for ""Leadership Team (LT) Traffic Lights""",Leadership Team (LT) Traffic Lights,Светофари на лидерския екип (LT).,Yes
I18N_LEAVING,I18NCode for Exiting,Leaving,напускане,Yes
I18N_LENGTH_YEARS,I18NCode for Length(Years),Length (Years),Дължина (години),Yes
I18N_LEVEL,I18NCode for Level,Level,Ниво,Yes
I18N_LOADING,I18NCode for Loading,Loading...,Зареждане...,Yes
I18N_LOADING_WARNING_MESSAGE,I18NCode for Loading Warning Message,"Attention!!! This procedure may take a considerable amount of time depending on the number of members, chapters and time interval.",Внимание!!!,Yes
I18N_LOCATION___DETAILS,I18NCode for Location & Details,Location & details,Местоположение и подробности,Yes
I18N_LOG_IN_TO_REPORTING2YOU,"I18NCode for Log In to Reporting2You
",Log In to Reporting2You,Влезте в Reporting2You,Yes
I18N_LOG_OUT,I18NCode for Log Out,Logout,Изход,Yes
I18N_LOGIN_FAILED,I18NCode for Login Failed,Login Failed,Неуспешно влизане,Yes
I18N_LOGIN_WITH_EMAIL,"I18NCode for Login with email
",Login with email,Влезте с имейл,Yes
I18N_LT,I18NCode for LT,LT,LT,Yes
I18N_LT_SUSPEND_MEMBERSHIP,I18NCode for LT Suspend Membership,LT Suspend membership,LT Спиране на членството,Yes
I18N_LT_SUSPEND_MEMBERSHIP_LABEL,I18NCode for LT Suspend Membership Label,Activate LT membership suspension,Активирайте спирането на членството в LT,Yes
I18N_LT_TRAFFIC_LIGHTS_SCORING_METHOD,"I18NCode for ""LT Traffic Lights Scoring Method""",LT Traffic Lights Scoring Method,LT Метод за оценяване на светофари,Yes
I18N_M,I18NCode for M,M,М,Yes
I18N_MANAGE,I18NCode for manage.,Manage,Управлявайте,Yes
I18N_MANAGE_CHAPTER_GOALS,I18NCode for Manage Chapter Goals,Manage Chapter Goals,Управление на целите на главите,Yes
I18N_MANAGE_COUTRY_GOALS,I18NCode for Manage Coutry Goals,Manage Country Goals,Управление на целите на държавата,Yes
I18N_MANAGE_DIRECTOR_GOALS,I18NCode for Manage Director Goals,Manage Director Goal,Управляващ директор Цел,Yes
I18N_MANAGE_MULTIREGION_GOALS,I18NCode for Manage MultiRegion Goals,Manage Multiregion Goals,Управление на мултирегионални цели,Yes
I18N_MANAGE_REGION_GOALS,I18NCode for Manage region goals,Manage Region Goals,Управление на регионални цели,Yes
I18N_MANAGE_TASKS,I18NCode for Manage Tasks Menu,Manage your tasks,Управлявайте задачите си,Yes
I18N_MANAGE_TEAM_GOALS,,Manage Team Goals,Управлявайте екипните цели,Yes
I18N_MANAGE_YOUR_GOAL,I18NCode to Manage your goal,Manage your Goal!,Управлявайте своята цел!,Yes
I18N_MARCH,I18NCode for March,March,март,Yes
I18N_MARKET,I18NCode for Market,Market,пазар,Yes
I18N_MAX,I18NCode represent Max:,Max:,Макс.,Yes
I18N_MAXIMUM,I18NCode for Maximum,File too large. The maximum size is 5MB.,Файлът е твърде голям.,Yes
I18N_MAY,I18NCode for May,May,май,Yes
I18N_MB,I18NCode for MB,MB,MB,Yes
I18N_MC,I18NCode for MC,MC,MC,Yes
I18N_MCKPI_DESCRIPTION,I18NCode for MCKPI Description,"This is a  <strong>monthly report</strong> that usually is sent to each Leadership Team every 3rd working day of the month.<br/>

It is a fantastic report that has two pages, in the first one you can see the Leadership Team members and the major chapter Key Performance Indicator for 12 and 6 months and at the second page, you will find the previous month Chapter Notable Networkers for Referrals, Business Given, One-to-Ones and Visitors.

It really saves time to LT and, if they print the report, they can use it at the Checkin Table...","Това е <strong>месечен отчет</strong>, който обикновено се изпраща до всеки ръководен екип на всеки 3-ти работен ден от месеца.<br/>",Yes
I18N_MCKPI_MONTHLY_CHAPTER_KEY_PERFORMANCE_INDICATORS_REPORT,I18NCode for MCKPI - Monthly Chapter Key Performance Indicators Report,MCKPI - Monthly Chapter Key Performance Indicators Report,MCKPI - Месечен доклад за ключови показатели за ефективност,Yes
I18N_MCMTE_DESCRIPTION,I18NCode for MCMTE Description,"This is a <strong>monthly report</strong> that usually is sent to LT's and DC's (the ED must set who receives it, LT, DC...) every 3rd working day of the month.<br/>

The goal is to give LT's and Directors an update regarding their members performance evolution and also the ability to understand Mentors success.","Това е <strong>месечен отчет</strong>, който обикновено се изпраща до LT и DC (ED трябва да определи кой да го получава, LT, DC...) на всеки 3-ти работен ден от месеца.<br/>",Yes
I18N_MCMTE_MONTHLY_MEMBER_TRAFFIC_LIGHTS_EVOLUTION_,I18NCode for MCMTE Monthly Member Traffic Lights Evolution ,MCMTE - Monthly Member Traffic Lights Evolution,MCMTE - Еволюция на светофарите за месечни членове,Yes
I18N_MCMTL__MONTHLY_MEMBER_TRAFFIC_LIGHTS_REPORT,I18NCode for MCMTL - Monthly Member Traffic Lights Report,MCMTL - Monthly Member Traffic Lights Report,MCMTL - Месечен доклад за светофарите на членовете,Yes
I18N_MCMTL_DESCRIPTION,I18NCode for MCMTL Description,"This is a <strong>monthly report</strong> that usually is sent each member (the ED decides who receives it, LT, DC...) every 3rd working day of the month.<br/>

The goal is to give each member enough information to understand where he needs to invest time in order to work is own VCP. If he opens the file with Adobe Acrobat Reader he can click his name and the system will tell him how many referrals, trainings, one-to-one, visitors, testimonials he needs to do to reach next color and Green... try it! It is really great.",MCMTL - Месечен доклад за светофарите на членовете,Yes
I18N_MCP_DESCRIPTION,I18NCode for Description,"This is a <strong>monthly report</strong> that usually is sent to the Leadership Team every 3rd working day of the month.<br/>

The goal is to give each Leadership and DC a tool to look for the principal Key Success Factor to fix (Power of One), because in this report it is so easy to understand the chapter evolution on each and every KSF and other KPI's","Това е <strong>месечен отчет</strong>, който обикновено се изпраща на Ръководния екип на всеки 3-ти работен ден от месеца.<br/>",Yes
I18N_MCP_MONTHLY_CHAPTER_PERFORMANCE_REPORT,I18NCode for MCP Monthly Chapter Performance Report,MCP - Monthly Chapter Performance Report,MCP - Месечен отчет за ефективността на глава,Yes
I18N_MDAA_DESCRIPTION,I18NCode for MDAA Description,"This is a <strong>monthly report</strong> that usually is sent to each AD every 3rd working day of the month.

The goal is to give, in only one report, the list of next 3 month renewals and identify on that list the members in member traffic lights RED or GRAY, and also complete list of what happened last month in the region (late, dropped , new and renewed members, members with 3 or more absences, members with 3 or more substitutions, PALMS monitoring and Directors Chapter Visits)","Това е <strong>месечен отчет</strong>, който обикновено се изпраща до всяка реклама на всеки 3-ти работен ден от месеца.",Yes
I18N_MDAA_MONTHLY_AREA_DIRECTOR_CONSULTANT_ALERT_REPORT,I18NCode for MDAA  Monthly Area Director Consultant Alert Report,MDAA - Monthly Area Director Consultant Alert Report,MDAA - Месечен доклад за предупреждение на консултант на областен директор,Yes
I18N_MDAP_DESCRIPTION,I18NCode for MDAP Description,"This is a <strong>monthly report</strong> that usually is sent to each AD every 3rd working day of the month.<br/>

The goal is to give the AD a tool to look understand his performance and evolution on each and every KSF and other KPI's","Това е <strong>месечен отчет</strong>, който обикновено се изпраща до всяка реклама на всеки 3-ти работен ден от месеца.<br/>",Yes
I18N_MDAP_MONTHLY_AREA_DIRECTOR_CONSULTANT_PERFORMANCE_REPORT,I18NCode for MDAP Monthly Area Director Consultant Performance Report,MDAP - Monthly Area Director Consultant Performance Report,MDAP - Месечен доклад за ефективността на консултанта на областния директор,Yes
I18N_MDCA_DESCRIPTION,I18NCode for MDCA,"This is a <strong>monthly report</strong> that usually is sent to each DC every 3rd working day of the month.<br/>

The goal is to give, in only one report, the list of next 3 month renewals and identify on that list the members in member traffic lights RED or GRAY, and also complete list of what happened last month in the region (late, dropped , new and renewed members, members with 3 or more absences, members with 3 or more substitutions, PALMS monitoring and Directors Chapter Visits)","Това е <strong>месечен отчет</strong>, който обикновено се изпраща до всеки DC на всеки 3-ти работен ден от месеца.<br/>",Yes
I18N_MDCA_MONTHLY_DIRECTOR_CONSULTANT_ALERT_REPORT,I18NCode for MDCA  Monthly Director Consultant Alert Report,MDCA - Monthly Director Consultant Alert Report,MDCA - Месечен доклад за предупреждение на консултант на директор,Yes
I18N_MDCP_DESCRIPTION,I18NCode for MDCP Description,"This is a <strong>monthly report</strong> that usually is sent to each DC every 3rd working day of the month.<br/>

The goal is to give the DC a tool to look understand his performance and evolution on each and every KSF and other KPI's","Това е <strong>месечен отчет</strong>, който обикновено се изпраща до всеки DC на всеки 3-ти работен ден от месеца.<br/>",Yes
I18N_MDCP_MONTHLY_DIRECTOR_CONSULTANT_PERFORMANCE_REPORT,I18NCode for MDCP Monthly Director Consultant Performance Report,MDCP - Monthly Director Consultant Performance Report,MDCP - Месечен доклад за работата на консултанта на директора,Yes
I18N_ME,I18NCode for Me,Me,аз,Yes
I18N_MECHANISMS,I18NCode for Mechanisms,Mechanisms,Механизми,Yes
I18N_MEETING,I18NCode for Meeting,Meeting,Среща,Yes
I18N_MEGA_REGION,I18NCode for Mega Region,Mega Region,Мега регион,Yes
I18N_MEM,I18NCode for MEM,MEM,MEM,Yes
I18N_MEMBER,I18NCode for Member,Member,Член,Yes
I18N_MEMBER_ANALYSIS,I18NCode for Member Analysis,Member Analysis,Анализ на членовете,Yes
I18N_MEMBER_FLOW,I18NCode for Member Flow,Member Flow,Поток на членовете,Yes
I18N_MEMBER_MANAGEMENT,I18NCode for Member Management,Member Management,Управление на членовете,Yes
I18N_MEMBER_MECHANISMS,I18NCode for Member Mechanisms,Member Mechanisms,Членски механизми,Yes
I18N_MEMBER_SUPPORT_TASKS,I18NCode for Member Support Tasks,LT or MC Member Support Tasks,Задачи за поддръжка на членове на LT или MC,Yes
I18N_MEMBERS,I18NCode for Members,Members,Членове,Yes
I18N_MEMBERS___CHAPTERS,I18NCode for Members & Chapters,Chapters and Members,Глави и членове,Yes
I18N_MEMBERS_100_POINTS,I18NCode for Members 100 Points Page Title,100 Points,100 точки,Yes
I18N_MEMBERS_CHAPTER,I18NCode for members/chapter,members/chapter,членове/глава,Yes
I18N_MEMBERS_COUNT,I18NCode for Members Count,Members count,Членовете се броят,Yes
I18N_MEMBERS_FALLING_IN_TL_FOR,"I18NCode for ""Members falling in TL for""",Members falling in TL for,"Членове, попадащи в TL за",Yes
I18N_MEMBERS_IN_TRAFFIC_LIGHTS,I18NCode for Members in Traffic Lights,Members in Traffic Lights,Членове на Светофари,Yes
I18N_MEMBERS_LIST,I18NCode for Members List,Members List,Списък на членовете,Yes
I18N_MEMBERS_PROFESSION,I18NCode for Members Profession,Member´s Profession,Професия на члена,Yes
I18N_MEMBERS_SATISFACTION,I18NCode for Members Satisfaction,Members Satisfaction,Удовлетвореност на членовете,Yes
I18N_MEMBERS_TOTAL,I18NCode for Members Total,Total Members,Общо членове,Yes
I18N_MEMBERS_USERS,I18NCode for Members & Users,Members/Users,Членове/Потребители,Yes
I18N_MEMBERS_WITH_LESS_THEN,"I18NCode for ""Members with less then""",Members with less then,Членове с по-малко тогава,Yes
I18N_MEMBERSHIP,I18NCode for Membership,Membership,Членство,Yes
I18N_MEMBERSHIP_AGE,I18NCode for MemberShip Age,MemberShip Age,Възраст на членството,Yes
I18N_MEMBERSHIP_COMMITTEE,I18NCode for Membership Committee,Membership Committee,Комитет по членство,Yes
I18N_MEMBERSHIP_LENGTH,I18NCode for MemberShip Length,Membership Length,Продължителност на членството,Yes
I18N_MENU,I18NCode for Menu,Menu,Меню,Yes
I18N_MENU_OPTIONS,I18NCode for Menu Options ,Menu Options,Опции на менюто,Yes
I18N_MENUS,I18NCode for Menus,Menus,Менюта,Yes
I18N_MESSAGE_BODY,I18NCode for Message Body,Message Body,Тяло на съобщението,Yes
I18N_MESSAGE_NO_CHAPTER_GOAL,I18NCode for Message No Chapter Goal,Establishing the Chapter Objetive is a fundamental step towards Success.,Установяването на целта на главата е основна стъпка към успеха.,Yes
I18N_MESSAGE_NO_COUNTRY_GOAL,I18NCode for Message No Country Goal,Establishing the Country's Objective is a fundamental step towards Success.,Установяването на целта на страната е основна стъпка към успеха.,Yes
I18N_MESSAGE_NO_DIRECTOR_GOAL,I18NCode for Message No Director Goal,Establishing the Director's Objetive is a fundamental step towards Success.,Установяването на целта на директора е основна стъпка към успеха.,Yes
I18N_MESSAGE_NO_GROUP_MECHANISMS,I18NCode for Message No Group Mechanisms,Establishing Chapter Mechanisms is a fundamental step towards Success.,Създаването на механизми за глави е основна стъпка към успеха.,Yes
I18N_MESSAGE_NO_MEMBER_MECHANISMS,I18NCode for Message No Member Mechanisms,Establishing Member Mechanisms is a fundamental step towards Success.,Създаването на членски механизми е основна стъпка към успеха.,Yes
I18N_MESSAGE_NO_MULTI_REGION_GOAL,I18NCode for Message No Multi Region Goal,Establishing the Multi Region Objetive is a fundamental step towards Success.,Установяването на мултирегионалната цел е основна стъпка към успеха.,Yes
I18N_MESSAGE_NO_REGION_GOAL,I18NCode for Message No Region Goal,Establishing the Region's Objetive is a fundamental step towards Success.,Установяването на целта на региона е основна стъпка към успеха.,Yes
I18N_MESSAGE_TO_BROADCAST,I18NCode for Message to broadcast,Message to broadcast,Съобщение за излъчване,Yes
I18N_MESSAGES,I18NCode for Messages Chat,Messages,Съобщения,Yes
I18N_METRIC_PERFOMANCE,I18NCode for Metric Perfomance,Performance Metrics,Показатели за ефективност,Yes
I18N_MIN,I18NCode represent Min:,Min:,мин.:,Yes
I18N_MIN_MEMBERSHIP_AGE,I18NCode for Min Membership Age,Min Membership Age,Минимална възраст за членство,Yes
I18N_MINUTES,I18NCode for Minutes,minutes,минути,Yes
I18N_MODULE_DESCRIPTION,I18NCode for module description,Description,Описание,Yes
I18N_MODULE_NAME,I18NCode for the module name type,Module ,Модул,Yes
I18N_MODULES,I18NCodes for Modules,Modules,Модули,Yes
I18N_MONITOR_MSP,I18NCode for Monitor MSP,Monitor MSP,Монитор MSP,Yes
I18N_MONITOR_MSP_LABEL,I18NCode for Monitor MSP Label,Enable MSP monitoring,Активирайте мониторинга на MSP,Yes
I18N_MONITOR_SUBSTITUTIONS,I18NCode for Monitor Substitutions,Monitor Substitutions,Наблюдавайте заместванията,Yes
I18N_MONITOR_SUBSTITUTIONS_LABEL,I18NCode Monitor Substitutions Label,Enable monitoring substitutions,Разрешаване на замени за наблюдение,Yes
I18N_MONTH_BY_MONTH,I18NCode for Month by month,Month by month,Месец след месец,Yes
I18N_MONTH_DIFFERENCE,I18NCode for Month difference, Months from the affiliate's entry until their exit,Месеци от влизането на афилиейта до излизането им,Yes
I18N_MONTH_MEMBER_6AM,I18NCode for /month/member (6m),/month/member (6m),/месец/член (6м),Yes
I18N_MONTHLY_ALERT_REPORT_SETTINGS,I18NCode for Monthly Alert Report Settings,Monthly Alert Report Settings,Настройки за месечен отчет за предупреждение,Yes
I18N_MONTHS,I18NCode for Months,Months,месеци,Yes
I18N_MONTHS_100_POINTS,I18NCode for Months 100 Points,Months 100 Points,Месеци 100 точки,Yes
I18N_MONTHS_BEFORE_RENEWAL,"I18NCode for ""Months Before Renewal""",Months before renewal,Месеци преди подновяване,Yes
I18N_MONTHS_IN_BNI,I18NCode for Months in BNI,Months in BNI,Месеци в BNI,Yes
