Code,Description,Default_Translation (en-en),Target_Translation (pl-pl),Has_Translation
I18N_GAME_RESULT,I18NCode for Game Result,Game result for,Wynik meczu dla,Yes
I18N_GAMES,I18NCode for Games,Games,Zawody sportowe,Yes
I18N_GENERATE,I18NCode for Generate,Generate,Spowodować,Yes
I18N_GENERATE_TEAMS,I18NCode for Generate Teams,Automatically generate teams,Automatycznie generuj zespoły,Yes
I18N_GET_DEFAULT,I18NCode for Get Default,Get Default,Uzyskaj domyślne,Yes
I18N_GIVE_NO_REFERRALS_ON_LAST,I18NCode for Give No Referrals On Last,Give No Referrals On Last,Nie dawaj żadnych poleceń na koniec,Yes
I18N_GIVEN_BUSINESS,I18NCode for Given Business Chart,Given Business,Biorąc pod uwagę biznes,Yes
I18N_GIVEN_REFERRALS,I18NCode for Given Referrals Chart,Given Referrals,Otrzymane skierowania,Yes
I18N_GOAL,I18NCode for Goal,Goal,Bramka,Yes
I18N_GOAL_ABREV,I18NCode for Goal,Goal,Bramka,Yes
I18N_GOAL_ABSENTISM_TOOLTIP,I18NCode for Goal Absentism Tooltip,Expected absence at the end of the period (ex: 2.5),"Oczekiwana nieobecność na koniec okresu (np. 2,5)",Yes
I18N_GOAL_CEU_TOOLTIP,I18Ncode for Goal Ceu Tooltip,Chapter Education Units/member/week,Rozdział Jednostki edukacyjne/członek/tydzień,Yes
I18N_GOAL_CONVERSIONTOOLTIP,I18NCode for Goal ConversionTooltip,Average Conversion (ex: 17.5),"Średnia konwersja (np. 17,5)",Yes
I18N_GOAL_ENTRIES_TOOLTIP,I18NCode for Goal Entries Tooltip,Number of expected new members in the period for all the context,Liczba oczekiwanych nowych członków w danym okresie dla całego kontekstu,Yes
I18N_GOAL_EXIT_TOOLTIP,I18NNCode for Goal Exit Tooltip,Number of expected dropouts in the period for all the context,Liczba oczekiwanych porzuceń w danym okresie dla całego kontekstu,Yes
I18N_GOAL_OTO_TOOLTIP,I18NCode for Goal oto Tooltip,1-2-1s/member/month,1-2-1s/członek/miesiąc,Yes
I18N_GOAL_REFERRALS_TOOLTIP,I18NCode for Goal Referrals Tooltip,Referrals/member/week,Polecenia/członek/tydzień,Yes
I18N_GOAL_RENEWALS,I18NCode for Goal Renewals in graphic,Renewals Goal,Cel odnowień,Yes
I18N_GOAL_RENOVATION_TOOLTIP,I18NCode for Goal Renovation Tooltip,Total submitted renewals at the end of the period,Łączna liczba odnowień złożonych na koniec okresu,Yes
I18N_GOAL_RETENTIONTOOLTIP,Goal RetentionTooltip,Desired Retention at the end of the period (ex: 70),Pożądane zatrzymanie na koniec okresu (np. 70),Yes
I18N_GOAL_SIZE_TOOLTIP,I18NCode for Goal Size Tooltip,Expected Average Chapter size at the end of the period,Oczekiwana średnia wielkość rozdziału na koniec okresu,Yes
I18N_GOAL_TRACKING,I18NCode for Goal Tracking,Goal Tracking,Śledzenie celu,Yes
I18N_GOAL_TYFCB_TOOLTIP,I18NCode for Goal TYFCB Tooltip,Thank You For Closed Business,Dziękuję za zamkniętą firmę,Yes
I18N_GOAL_VISITS_TOOLTIP,I18NCode for Goal Visits Tooltip,Visitors/chapter/week,Odwiedzający/rozdział/tydzień,Yes
I18N_GOALS,,Goals,Cele,Yes
I18N_GREATER_THAN_OR_EQUAL_TO_0,I18NCode for Greater Than Or Equal To 0,Greater than or equal to 0,Większe lub równe 0,Yes
I18N_GREATER_THAN_OR_EQUAL_TO_2_FAULTS,I18NCode for Greater than or equal to 2 faults,greater than or equal to 2 faults,większe lub równe 2 błędom,Yes
I18N_GREEN,I18NCode for Green,Green,Zielony,Yes
I18N_GREEN_LABEL_INFO,I18NCode for Green Label Info,new members that reached Green,"nowi członkowie, którzy dotarli do Green",Yes
I18N_GRN,I18NCode for #Grn on table label,#Grn,#Grn,Yes
I18N_GROUP,I18NCode for Group,Group,Grupa,Yes
I18N_GROUP_CHAT,I18NCode for Group Chat,Group chat,Czat grupowy,Yes
I18N_GROUP_CHATS_ONLY,"I18NCode for Group chats only
",Group chats only,Tylko czaty grupowe,Yes
I18N_GROUP_MECHANISMS,I18NCode for Group Mechanisms Page,Chapter Mechanisms,Mechanizmy rozdziału,Yes
I18N_GROUP_MEMBERS,I18NCode for Group Members,Group members,Członkowie grupy,Yes
I18N_GROUPS,,Chapters,Rozdziały,Yes
I18N_GROW,I18NCode for Grow.,Grow.,Rosnąć.,Yes
I18N_GROWTH,I18NCode for Growth,Growth,Wzrost,Yes
I18N_GROWTH_TRACKING_MECHANISMS,I18NCode for Growth Tracking Mechanisms,Growth Tracking Mechanisms,Mechanizmy śledzenia wzrostu,Yes
I18N_GRY,I18NCode for #Gry on table label,#Gry,#Szary,Yes
I18N_HAS_DEFINED_GOALS,"I18Ncode for Has defined goals
",with defined goals,z określonymi celami,Yes
I18N_HAS_FINANCIAL_DATA,I18NCode for Has Financial Data,Has Financial Data,Posiada dane finansowe,Yes
I18N_HAS_GOAL,I18NCode for Has Goal,Has Goal,Ma cel,Yes
I18N_HAVE_YOU_ALREADY_RESET_THE_PASSWORD,I18NCode for Have You Already Reset The Password,Have you already reset the password?,Czy zresetowałeś już hasło?,Yes
I18N_HELP,I18NCode for Help,Help,Pomoc,Yes
I18N_HELP_RESIZE_IMAGE_MODAL,"I18NCode for Drag to position, use the corners to resize the cropping area.
","Drag to position, use the corners to resize the cropping area.","Przeciągnij w wybrane miejsce. Użyj narożników, aby zmienić rozmiar obszaru przycinania.",Yes
I18N_HIDE_FROM_REPORT,I18NCode for Hide From Report,Hide From Report,Ukryj w raporcie,Yes
I18N_HOST_TEAM,I18NCode for Host Team,Host Team,Zespół gospodarzy,Yes
I18N_HOW,I18NCode for How,How,Jak,Yes
I18N_HOW_CAN_I_SETUP_TASKS_IN_REPORTING2YOU_AND_AUTOMATE_ZERO_TO_ONE_TASK,I18NCode for How can I setup Tasks in Reporting2You and automate Zero-To-One Task,How can I setup Tasks in Reporting2You and automate Zero-To-One Task,Jak mogę skonfigurować zadania w Reporting2You i zautomatyzować zadanie zero-to-one,Yes
I18N_HOW_DO_I,I18NCode for How do i,How do i...,Jak mam...,Yes
I18N_HOW_DO_WE_PROTECT_YOUR_INFORMATION,I18NCode for How do we protect your information,How do we protect your information?,Jak chronimy Twoje dane?,Yes
I18N_HOW_LONG_WILL_YOUR_INFORMATION_BE_HELD,I18NCode for How long will your information be held,How long will your information be held?,Jak długo Twoje dane będą przechowywane?,Yes
I18N_HOW_THIS_INFORMATION_IS_USED,I18NCode for How this information is used,How this information is used?,Jak wykorzystywane są te informacje?,Yes
I18N_HOW_TO_IMPROVE,I18NCode for How to Improve,How do i improve,Jak mogę się poprawić,Yes
I18N_I_M_NEW_IN_REPORTING2YOU__IS_THERE_ANY_QUICK_OVERVIEW,I18NCode for I'm new in Reporting2You! Is there any quick overview,I'm new in Reporting2You! Is there any quick overview,Jestem nowy w Reporting2You!,Yes
I18N_I18N_DESCRIPTION_IS_VERY_USEFUL,I18NCode for I18n Description is very Useful,Description is very useful,Opis jest bardzo przydatny,Yes
I18N_I18N_WITH_HISTORY_,I18NCode for With History ,History,Historia,Yes
I18N_I18N_ZEROREF_W,I18NCode for ZeroREF/week,ZeroREF/W,ZeroREF/W,Yes
I18N_I18NCODES,I18NCodes for I18NCodes,I18N Codes,Kody I18N,Yes
I18N_ICON,I18NCode for Icon,Icon,Ikona,Yes
I18N_IGNORED,I18NCode to Ignored,Ignored,Ignorowane,Yes
I18N_IMAGE_GAME,I18NCode for Image Game,Image Game,Gra obrazkowa,Yes
I18N_IMAGE_UPLOAD_ERROR,I18NCode for Image Upload Error,Error submitting image.,Błąd podczas przesyłania obrazu.,Yes
I18N_IMAGE_UPLOAD_SUCCESS,I18NCode for Image Upload Success,Image submitted successfully.,Obraz przesłano pomyślnie.,Yes
I18N_IMPERSONATION_MODE,I18NCode for Impersonation Mode,Impersonation Mode,Tryb personifikacji,Yes
I18N_IMPLEMENT_A_BNI_GAME,I18NCode for Implement a BNI Game,Implement a BNI Game,Zaimplementuj grę BNI,Yes
I18N_IMPLEMENT_GAME_NOTE,I18NCode for Implement Game Note,"Note:To configure this report to be sent to members, or Directors you need to go to Regional Administration -> Regional Settings and at the Reports section set who do you want to receive the BNI Game report.<br/>
After this, a report will be generated every Monday for each active BNI Game in your region.",Zaimplementuj grę BNI,Yes
I18N_IMPORT_TRANSLATIONS,I18NCode for Import Translations,Import Translations,Importuj tłumaczenia,Yes
I18N_IMPROVE,I18NCode for Improve,To improve,Aby poprawić,Yes
I18N_IN,I18NCode for In,In,W,Yes
I18N_IN_THE_LAST,I18NCode for In the Last,In the last,W ostatnim,Yes
I18N_IN_THE_LASTS,I18NCode for In the Last,In the last,W ostatnim,Yes
I18N_IN_THIS_DATE_RANGE_,"I18NCode for in this date range.
",in this date range.,w tym zakresie dat.,Yes
I18N_INACTIVE,I18NCode for Inactive,Inactive,Nieaktywny,Yes
I18N_INACTIVITY_NOTICE,"I18NCode for Inactivity Notice
",Inactivity notice,Powiadomienie o braku aktywności,Yes
I18N_INCOMPLETE_DOWNLOAD,"I18NCode for Incomplete download
",Incomplete download,Niekompletne pobranie,Yes
I18N_INDICATORS,I18NCode for Indicators,Indicators,Wskaźniki,Yes
I18N_INDUSTRY,I18NCode for Industry,Industry,Przemysł,Yes
I18N_INITIAL_COUNT,I18NCode for Initial Count,Initial Count,Liczba początkowa,Yes
I18N_INITIATE_A_POLL,i18NCode for Initiate a Poll,Initiate a poll,Rozpocznij ankietę,Yes
I18N_INSERT_CODE,I18NCode for I18N name placeholder on modals	,Fill Code with I18N,Wpisz kod I18N,Yes
I18N_INSERT_CONTEXT,I18NCode for Context name placeholder on modals	,Enter a name for the new module type,Wprowadź nazwę nowego typu modułu,Yes
I18N_INSERT_CONTEXT_DESCRIPTION,I18NCode for description placeholder modals	,Fill in the name of the new context,Wpisz nazwę nowego kontekstu,Yes
I18N_INSERT_DESCRIPTION,I18NCode for I18N description placeholder on modals	, Fill with the I18NCode description,Wypełnij opis I18NCode,Yes
I18N_INSERT_DROP_FILES_TASK,I18NCode for the dropzone in task's modal,Drop the files here,Upuść pliki tutaj,Yes
I18N_INSERT_LANGUAGE_DESCRIPTION,I18NCode for language description placeholder modals	,Fill in the description of the new language,Wypełnij opis nowego języka,Yes
I18N_INSERT_LANGUAGE_NAME,I18NCode for language name placeholder modals	,Fill in the language  of the new language,Wpisz język nowego języka,Yes
I18N_INSERT_LANGUAGE_SHORTNAME,I18NCode for shortname placeholder modals	,Fill in the shortname of the new language,Wpisz krótką nazwę nowego języka,Yes
I18N_INSERT_MECHANISMS,I18NCode for Insert Mechanisms,Insert Mechanisms,Wstaw mechanizmy,Yes
I18N_INSERT_MODULE,I18NCode for module name placeholder on modals, Fill in the name of the new module,Wpisz nazwę nowego modułu,Yes
I18N_INSERT_MODULE_DESCRIPTION,I18NCode for description placeholder modals,Enter a name for the new module type,Wprowadź nazwę nowego typu modułu,Yes
I18N_INSERT_PROFILE_DESCRIPTION,I18NCode for Insert Profile Description,Insert Profile Description,Wstaw opis profilu,Yes
I18N_INSERT_PROFILE_NAME,I18NCode for Insert Profile Name,Insert Profile Name,Wstaw nazwę profilu,Yes
I18N_INSERT_TASK_DESCRIPTION,I18NCode for insert description in task's modal,Enter a Description,Wprowadź opis,Yes
I18N_INSERT_TRANSLATION_DESCRIPTION,I18NCode for translation description placeholder modals,Fill with the language description,Wypełnij opis języka,Yes
I18N_INTERNAL,I18NCode for Internal,Internal,Wewnętrzny,Yes
I18N_INVALID_CREDENTIALS,I18NCode for Invalid Credentials,Invalid credentials,Nieprawidłowe dane uwierzytelniające,Yes
I18N_INVALID_OR_EXPIRED_TOKEN,I18NCode for Invalid Or Expired Token,Invalid or Expired token,Nieprawidłowy lub wygasły token,Yes
I18N_INVALID_TOKEN_,I18NCode for Invalid Token, <strong>Invalid Token!</strong> The token provided is invalid.,<strong>Nieprawidłowy token!</strong> Podany token jest nieprawidłowy.,Yes
I18N_INVALID_USER_DATA,I18NCode for Invalid User Data,Invalid user data,Nieprawidłowe dane użytkownika,Yes
I18N_IS_REPORTING2YOU_GDPR_COMPLIANT,I18NCode for Is Reporting2You GDPR Compliant,Is Reporting2you GDPR compliant,Czy Reporting2you jest zgodny z RODO,Yes
I18N_IT_WAS_NOT_POSSIBLE_TO_LOAD_THE_MEMBERS,I18NCode for It was not possible to load the members,It was not possible to load the members,Nie można było załadować członków,Yes
I18N_JANUARY,I18NCode for January,January,Styczeń,Yes
I18N_JOIN_DATE,"I18NCode for Join Date
",Join Date,Data dołączenia,Yes
I18N_JULY,I18NCode for July,July,Lipiec,Yes
I18N_JUNE,I18NCode for June,June,Czerwiec,Yes
I18N_KEY_METRICS,I18NCode for Key metrics,Key metrics,Kluczowe wskaźniki,Yes
I18N_KINDLY_SUGGEST_THAT,I18NCode for Kindly suggest that,Kindly suggest that,Uprzejmie to zasugeruj,Yes
I18N_KPI,I18NCode for KPI's,Kpi's,Kpi,Yes
I18N_KPI_CORRELATION,I18NCode for KPI Correlation,Kpi Correlation,Kpi Correlation,Yes
I18N_KPI_EVOLUTION,I18NCode for Kpi Evolution,KPI Evolution,Ewolucja KPI,Yes
I18N_KPI_GAME,I18NCode for Kpi Game,Kpi Game,Gra Kpi,Yes
I18N_KPI_GAME_BNI,I18NCode for KPI Game BNI,KPI Game KPIS,KPI Gra KPIS,Yes
I18N_KPI_SINGULAR,I18NCode for Kpi in singular,Kpi,Kpi,Yes
I18N_L,I18NCode for L,L,L,Yes
I18N_LANGUAGE,I18NCode for the language name 	,Language,Język,Yes
I18N_LANGUAGE_DESCRIPTION,I18NCode for language description,Description,Opis,Yes
I18N_LANGUAGES,I18NCodes for Languages,Languages,Języki,Yes
I18N_LAST,I18NCode for Last,Last,Ostatni,Yes
I18N_LAST_6_MONTHS,I18NCode for Last 6 Months,Last 6 Months,Ostatnie 6 miesięcy,Yes
I18N_LAST_CLOSED_MONTH,I18NCode for Last Closed Month,Last Closed Month,Ostatni zamknięty miesiąc,Yes
I18N_LAST_MEMBERS_IN_TRAFFIC_LIGHTS,I18NCode for Last Members In Traffic Lights,Last Members in Traffic Lights,Ostatni członkowie na światłach drogowych,Yes
I18N_LAST_MONTH,I18CodeN for last month,Last month:,Ostatni miesiąc:,Yes
I18N_LAST_NAME,I18NCode for Last Name label,Last Name,Nazwisko,Yes
I18N_LAST_NEW_MEMBER,I18NCode for Last New Member,Last New Member,Ostatni nowy członek,Yes
I18N_LAST_SPONSORSHIP,I18NCode for Last Sponsorship,Last Sponsorship,Ostatni sponsoring,Yes
I18N_LAST_SUBMITED_PALMS,I18NCode for Last submitted PALMS:,Last submitted PALMS,Ostatnio przesłane PALMY,Yes
I18N_LAST_UPDATE,I18NCode for Last Update,Last Update,Ostatnia aktualizacja,Yes
I18N_LAST12MONTS,I18NCode for Last12Months,Last 12 Months ::,Ostatnie 12 miesięcy ::,Yes
I18N_LASTMONTH_MENU,I18NCode for Last Month Side Bar Menu,Last Month,Ostatni miesiąc,Yes
I18N_LATE,I18NCode for Late,Late,Późno,Yes
I18N_LATEST_REPORTS_RECEIVED,Latest Reports Received,Latest Reports Received,Otrzymano najnowsze raporty,Yes
I18N_LAUNCH,I18NCode for Launch,Launch,Początek,Yes
I18N_LAUNCH_DATE,I18NCode for Launch Date,Launch Date,Data uruchomienia,Yes
I18N_LEADERSHIP_TEAM,I18NCode for Leadership Team,Leadership Team,Zespół kierowniczy,Yes
I18N_LEADERSHIP_TEAM_TRAFFIC_LIGHTS,"I18NCode for ""Leadership Team (LT) Traffic Lights""",Leadership Team (LT) Traffic Lights,Zespół kierowniczy (LT) Sygnalizacja świetlna,Yes
I18N_LEAVING,I18NCode for Exiting,Leaving,Odjazd,Yes
I18N_LENGTH_YEARS,I18NCode for Length(Years),Length (Years),Długość (lata),Yes
I18N_LEVEL,I18NCode for Level,Level,Poziom,Yes
I18N_LOADING,I18NCode for Loading,Loading...,Załadunek...,Yes
I18N_LOADING_WARNING_MESSAGE,I18NCode for Loading Warning Message,"Attention!!! This procedure may take a considerable amount of time depending on the number of members, chapters and time interval.",Uwaga!!!,Yes
I18N_LOCATION___DETAILS,I18NCode for Location & Details,Location & details,Lokalizacja i szczegóły,Yes
I18N_LOG_IN_TO_REPORTING2YOU,"I18NCode for Log In to Reporting2You
",Log In to Reporting2You,Zaloguj się do Reporting2You,Yes
I18N_LOG_OUT,I18NCode for Log Out,Logout,Wyloguj się,Yes
I18N_LOGIN_FAILED,I18NCode for Login Failed,Login Failed,Logowanie nie powiodło się,Yes
I18N_LOGIN_WITH_EMAIL,"I18NCode for Login with email
",Login with email,Zaloguj się za pomocą e-maila,Yes
I18N_LT,I18NCode for LT,LT,LT,Yes
I18N_LT_SUSPEND_MEMBERSHIP,I18NCode for LT Suspend Membership,LT Suspend membership,LT,Yes
I18N_LT_SUSPEND_MEMBERSHIP_LABEL,I18NCode for LT Suspend Membership Label,Activate LT membership suspension,LT Zawieś członkostwo,Yes
I18N_LT_TRAFFIC_LIGHTS_SCORING_METHOD,"I18NCode for ""LT Traffic Lights Scoring Method""",LT Traffic Lights Scoring Method,Aktywuj zawieszenie członkostwa LT,Yes
I18N_M,I18NCode for M,M,M,Yes
I18N_MANAGE,I18NCode for manage.,Manage,Zarządzać,Yes
I18N_MANAGE_CHAPTER_GOALS,I18NCode for Manage Chapter Goals,Manage Chapter Goals,Zarządzaj celami rozdziału,Yes
I18N_MANAGE_COUTRY_GOALS,I18NCode for Manage Coutry Goals,Manage Country Goals,Zarządzaj celami rozdziału,Yes
I18N_MANAGE_DIRECTOR_GOALS,I18NCode for Manage Director Goals,Manage Director Goal,Zarządzaj celami rozdziału,Yes
I18N_MANAGE_MULTIREGION_GOALS,I18NCode for Manage MultiRegion Goals,Manage Multiregion Goals,Zarządzaj celami krajowymi,Yes
I18N_MANAGE_REGION_GOALS,I18NCode for Manage region goals,Manage Region Goals,Zarządzaj celami regionalnymi,Yes
I18N_MANAGE_TASKS,I18NCode for Manage Tasks Menu,Manage your tasks,Zarządzaj swoimi zadaniami,Yes
I18N_MANAGE_TEAM_GOALS,,Manage Team Goals,Zarządzaj celami zespołu,Yes
I18N_MANAGE_YOUR_GOAL,I18NCode to Manage your goal,Manage your Goal!,Zarządzaj swoim celem!,Yes
I18N_MARCH,I18NCode for March,March,marzec,Yes
I18N_MARKET,I18NCode for Market,Market,Rynek,Yes
I18N_MAX,I18NCode represent Max:,Max:,Maks.:,Yes
I18N_MAXIMUM,I18NCode for Maximum,File too large. The maximum size is 5MB.,Plik jest za duży.,Yes
I18N_MAY,I18NCode for May,May,Móc,Yes
I18N_MB,I18NCode for MB,MB,MB,Yes
I18N_MC,I18NCode for MC,MC,MC,Yes
I18N_MCKPI_DESCRIPTION,I18NCode for MCKPI Description,"This is a  <strong>monthly report</strong> that usually is sent to each Leadership Team every 3rd working day of the month.<br/>

It is a fantastic report that has two pages, in the first one you can see the Leadership Team members and the major chapter Key Performance Indicator for 12 and 6 months and at the second page, you will find the previous month Chapter Notable Networkers for Referrals, Business Given, One-to-Ones and Visitors.

It really saves time to LT and, if they print the report, they can use it at the Checkin Table...","Jest to <strong>raport miesięczny</strong>, który zwykle jest wysyłany do każdego Zespołu Liderów co trzeci dzień roboczy w miesiącu.<br/>",Yes
I18N_MCKPI_MONTHLY_CHAPTER_KEY_PERFORMANCE_INDICATORS_REPORT,I18NCode for MCKPI - Monthly Chapter Key Performance Indicators Report,MCKPI - Monthly Chapter Key Performance Indicators Report,MCKPI – miesięczny raport dotyczący kluczowych wskaźników wydajności rozdziału,Yes
I18N_MCMTE_DESCRIPTION,I18NCode for MCMTE Description,"This is a <strong>monthly report</strong> that usually is sent to LT's and DC's (the ED must set who receives it, LT, DC...) every 3rd working day of the month.<br/>

The goal is to give LT's and Directors an update regarding their members performance evolution and also the ability to understand Mentors success.","Jest to <strong>raport miesięczny</strong>, który zwykle jest wysyłany do LT i DC (ED musi określić, kto go otrzyma, LT, DC...) co trzeci dzień roboczy miesiąca.<br/>",Yes
I18N_MCMTE_MONTHLY_MEMBER_TRAFFIC_LIGHTS_EVOLUTION_,I18NCode for MCMTE Monthly Member Traffic Lights Evolution ,MCMTE - Monthly Member Traffic Lights Evolution,MCMTE – miesięczna ewolucja sygnalizacji świetlnej dla członków,Yes
I18N_MCMTL__MONTHLY_MEMBER_TRAFFIC_LIGHTS_REPORT,I18NCode for MCMTL - Monthly Member Traffic Lights Report,MCMTL - Monthly Member Traffic Lights Report,MCMTL – miesięczny raport dotyczący sygnalizacji świetlnej dla członków,Yes
I18N_MCMTL_DESCRIPTION,I18NCode for MCMTL Description,"This is a <strong>monthly report</strong> that usually is sent each member (the ED decides who receives it, LT, DC...) every 3rd working day of the month.<br/>

The goal is to give each member enough information to understand where he needs to invest time in order to work is own VCP. If he opens the file with Adobe Acrobat Reader he can click his name and the system will tell him how many referrals, trainings, one-to-one, visitors, testimonials he needs to do to reach next color and Green... try it! It is really great.","Jest to <strong>raport miesięczny</strong>, który zwykle jest wysyłany każdemu członkowi (ED decyduje, kto go otrzyma, LT, DC...) co trzeci dzień roboczy w miesiącu.<br/>",Yes
I18N_MCP_DESCRIPTION,I18NCode for Description,"This is a <strong>monthly report</strong> that usually is sent to the Leadership Team every 3rd working day of the month.<br/>

The goal is to give each Leadership and DC a tool to look for the principal Key Success Factor to fix (Power of One), because in this report it is so easy to understand the chapter evolution on each and every KSF and other KPI's","Jest to <strong>raport miesięczny</strong>, który zwykle jest wysyłany do Zespołu Liderów co trzeci dzień roboczy w miesiącu.<br/>",Yes
I18N_MCP_MONTHLY_CHAPTER_PERFORMANCE_REPORT,I18NCode for MCP Monthly Chapter Performance Report,MCP - Monthly Chapter Performance Report,MCP – miesięczny raport z wyników oddziału,Yes
I18N_MDAA_DESCRIPTION,I18NCode for MDAA Description,"This is a <strong>monthly report</strong> that usually is sent to each AD every 3rd working day of the month.

The goal is to give, in only one report, the list of next 3 month renewals and identify on that list the members in member traffic lights RED or GRAY, and also complete list of what happened last month in the region (late, dropped , new and renewed members, members with 3 or more absences, members with 3 or more substitutions, PALMS monitoring and Directors Chapter Visits)","Jest to <strong>raport miesięczny</strong>, który zazwyczaj jest wysyłany do każdego AD co trzeci dzień roboczy miesiąca.",Yes
I18N_MDAA_MONTHLY_AREA_DIRECTOR_CONSULTANT_ALERT_REPORT,I18NCode for MDAA  Monthly Area Director Consultant Alert Report,MDAA - Monthly Area Director Consultant Alert Report,MDAA – miesięczny raport ostrzegawczy konsultanta dyrektora regionalnego,Yes
I18N_MDAP_DESCRIPTION,I18NCode for MDAP Description,"This is a <strong>monthly report</strong> that usually is sent to each AD every 3rd working day of the month.<br/>

The goal is to give the AD a tool to look understand his performance and evolution on each and every KSF and other KPI's","Jest to <strong>raport miesięczny</strong>, który zwykle jest wysyłany do każdego AD co trzeci dzień roboczy miesiąca.<br/>",Yes
I18N_MDAP_MONTHLY_AREA_DIRECTOR_CONSULTANT_PERFORMANCE_REPORT,I18NCode for MDAP Monthly Area Director Consultant Performance Report,MDAP - Monthly Area Director Consultant Performance Report,MDAP – miesięczny raport z wyników pracy konsultanta dyrektora regionalnego,Yes
I18N_MDCA_DESCRIPTION,I18NCode for MDCA,"This is a <strong>monthly report</strong> that usually is sent to each DC every 3rd working day of the month.<br/>

The goal is to give, in only one report, the list of next 3 month renewals and identify on that list the members in member traffic lights RED or GRAY, and also complete list of what happened last month in the region (late, dropped , new and renewed members, members with 3 or more absences, members with 3 or more substitutions, PALMS monitoring and Directors Chapter Visits)","Jest to <strong>raport miesięczny</strong>, który zwykle jest wysyłany do każdego DC co trzeci dzień roboczy miesiąca.<br/>",Yes
I18N_MDCA_MONTHLY_DIRECTOR_CONSULTANT_ALERT_REPORT,I18NCode for MDCA  Monthly Director Consultant Alert Report,MDCA - Monthly Director Consultant Alert Report,MDCA – miesięczny raport ostrzegawczy dyrektora-konsultanta,Yes
I18N_MDCP_DESCRIPTION,I18NCode for MDCP Description,"This is a <strong>monthly report</strong> that usually is sent to each DC every 3rd working day of the month.<br/>

The goal is to give the DC a tool to look understand his performance and evolution on each and every KSF and other KPI's","Jest to <strong>raport miesięczny</strong>, który zwykle jest wysyłany do każdego DC co trzeci dzień roboczy miesiąca.<br/>",Yes
I18N_MDCP_MONTHLY_DIRECTOR_CONSULTANT_PERFORMANCE_REPORT,I18NCode for MDCP Monthly Director Consultant Performance Report,MDCP - Monthly Director Consultant Performance Report,MDCP – miesięczny raport z wyników pracy dyrektora-konsultanta,Yes
I18N_ME,I18NCode for Me,Me,Ja,Yes
I18N_MECHANISMS,I18NCode for Mechanisms,Mechanisms,Mechanizmy,Yes
I18N_MEETING,I18NCode for Meeting,Meeting,Spotkanie,Yes
I18N_MEGA_REGION,I18NCode for Mega Region,Mega Region,Megaregion,Yes
I18N_MEM,I18NCode for MEM,MEM,PAM,Yes
I18N_MEMBER,I18NCode for Member,Member,Członek,Yes
I18N_MEMBER_ANALYSIS,I18NCode for Member Analysis,Member Analysis,Członek,Yes
I18N_MEMBER_FLOW,I18NCode for Member Flow,Member Flow,Przepływ członków,Yes
I18N_MEMBER_MANAGEMENT,I18NCode for Member Management,Member Management,Zarządzanie członkami,Yes
I18N_MEMBER_MECHANISMS,I18NCode for Member Mechanisms,Member Mechanisms,Mechanizmy członkowskie,Yes
I18N_MEMBER_SUPPORT_TASKS,I18NCode for Member Support Tasks,LT or MC Member Support Tasks,Zadania wsparcia dla członków LT lub MC,Yes
I18N_MEMBERS,I18NCode for Members,Members,Członkowie,Yes
I18N_MEMBERS___CHAPTERS,I18NCode for Members & Chapters,Chapters and Members,Kapituły i Członkowie,Yes
I18N_MEMBERS_100_POINTS,I18NCode for Members 100 Points Page Title,100 Points,100 punktów,Yes
I18N_MEMBERS_CHAPTER,I18NCode for members/chapter,members/chapter,członkowie/kapitał,Yes
I18N_MEMBERS_COUNT,I18NCode for Members Count,Members count,Liczą się członkowie,Yes
I18N_MEMBERS_FALLING_IN_TL_FOR,"I18NCode for ""Members falling in TL for""",Members falling in TL for,Członkowie należący do TL dla,Yes
I18N_MEMBERS_IN_TRAFFIC_LIGHTS,I18NCode for Members in Traffic Lights,Members in Traffic Lights,Członkowie organizacji „Sygnalizacja świetlna”.,Yes
I18N_MEMBERS_LIST,I18NCode for Members List,Members List,Lista członków,Yes
I18N_MEMBERS_PROFESSION,I18NCode for Members Profession,Member´s Profession,Zawód członka,Yes
I18N_MEMBERS_SATISFACTION,I18NCode for Members Satisfaction,Members Satisfaction,Zadowolenie członków,Yes
I18N_MEMBERS_TOTAL,I18NCode for Members Total,Total Members,Całkowita liczba członków,Yes
I18N_MEMBERS_USERS,I18NCode for Members & Users,Members/Users,Członkowie/Użytkownicy,Yes
I18N_MEMBERS_WITH_LESS_THEN,"I18NCode for ""Members with less then""",Members with less then,Członkowie posiadający mniej,Yes
I18N_MEMBERSHIP,I18NCode for Membership,Membership,Członkostwo,Yes
I18N_MEMBERSHIP_AGE,I18NCode for MemberShip Age,MemberShip Age,Wiek członkostwa,Yes
I18N_MEMBERSHIP_COMMITTEE,I18NCode for Membership Committee,Membership Committee,Komitet Członkowski,Yes
I18N_MEMBERSHIP_LENGTH,I18NCode for MemberShip Length,Membership Length,Długość członkostwa,Yes
I18N_MENU,I18NCode for Menu,Menu,Menu,Yes
I18N_MENU_OPTIONS,I18NCode for Menu Options ,Menu Options,Opcje menu,Yes
I18N_MENUS,I18NCode for Menus,Menus,Menu,Yes
I18N_MESSAGE_BODY,I18NCode for Message Body,Message Body,Treść wiadomości,Yes
I18N_MESSAGE_NO_CHAPTER_GOAL,I18NCode for Message No Chapter Goal,Establishing the Chapter Objetive is a fundamental step towards Success.,Ustalenie Celu Kapituły jest podstawowym krokiem w kierunku Sukcesu.,Yes
