Code,Description,Default_Translation (en-en),Target_Translation (nl-nl),Has_Translation
I18N_GOAL_EXIT_TOOLTIP,I18NNCode for Goal Exit Tooltip,Number of expected dropouts in the period for all the context,Aantal verwachte uitval in de periode voor de hele context,Yes
I18N_GOAL_OTO_TOOLTIP,I18NCode for Goal oto Tooltip,1-2-1s/member/month,Aantal verwachte uitval in de periode voor de hele context,Yes
I18N_GOAL_REFERRALS_TOOLTIP,I18NCode for Goal Referrals Tooltip,Referrals/member/week,Verwijzingen/lid/week,Yes
I18N_GOAL_RENEWALS,I18NCode for Goal Renewals in graphic,Renewals Goal,Verlengingsdoel,Yes
I18N_GOAL_RENOVATION_TOOLTIP,I18NCode for Goal Renovation Tooltip,Total submitted renewals at the end of the period,Totaal aantal ingediende verlengingen aan het einde van de periode,Yes
I18N_GOAL_RETENTIONTOOLTIP,Goal RetentionTooltip,Desired Retention at the end of the period (ex: 70),Gewenste retentie aan het einde van de periode (bijvoorbeeld: 70),Yes
I18N_GOAL_SIZE_TOOLTIP,I18NCode for Goal Size Tooltip,Expected Average Chapter size at the end of the period,Verwachte gemiddelde hoofdstukgrootte aan het einde van de periode,Yes
I18N_GOAL_TRACKING,I18NCode for Goal Tracking,Goal Tracking,Doel volgen,Yes
I18N_GOAL_TYFCB_TOOLTIP,I18NCode for Goal TYFCB Tooltip,Thank You For Closed Business,Bedankt voor gesloten zaken,Yes
I18N_GOAL_VISITS_TOOLTIP,I18NCode for Goal Visits Tooltip,Visitors/chapter/week,Bezoekers/hoofdstuk/week,Yes
I18N_GOALS,,Goals,Doelen,Yes
I18N_GREATER_THAN_OR_EQUAL_TO_0,I18NCode for Greater Than Or Equal To 0,Greater than or equal to 0,Groter dan of gelijk aan 0,Yes
I18N_GREATER_THAN_OR_EQUAL_TO_2_FAULTS,I18NCode for Greater than or equal to 2 faults,greater than or equal to 2 faults,groter dan of gelijk aan 2 fouten,Yes
I18N_GREEN,I18NCode for Green,Green,Groente,Yes
I18N_GREEN_LABEL_INFO,I18NCode for Green Label Info,new members that reached Green,nieuwe leden die Green bereikten,Yes
I18N_GRN,I18NCode for #Grn on table label,#Grn,#Grn,Yes
I18N_GROUP,I18NCode for Group,Group,Groep,Yes
I18N_GROUP_CHAT,I18NCode for Group Chat,Group chat,Groepschat,Yes
I18N_GROUP_CHATS_ONLY,"I18NCode for Group chats only
",Group chats only,Alleen groepschats,Yes
I18N_GROUP_MECHANISMS,I18NCode for Group Mechanisms Page,Chapter Mechanisms,Hoofdstuk Mechanismen,Yes
I18N_GROUP_MEMBERS,I18NCode for Group Members,Group members,Groepsleden,Yes
I18N_GROUPS,,Chapters,Hoofdstukken,Yes
I18N_GROW,I18NCode for Grow.,Grow.,Groeien.,Yes
I18N_GROWTH,I18NCode for Growth,Growth,Groei,Yes
I18N_GROWTH_TRACKING_MECHANISMS,I18NCode for Growth Tracking Mechanisms,Growth Tracking Mechanisms,Mechanismen voor het volgen van groei,Yes
I18N_GRY,I18NCode for #Gry on table label,#Gry,#Grij,Yes
I18N_HAS_DEFINED_GOALS,"I18Ncode for Has defined goals
",with defined goals,met gedefinieerde doelen,Yes
I18N_HAS_FINANCIAL_DATA,I18NCode for Has Financial Data,Has Financial Data,Heeft financiële gegevens,Yes
I18N_HAS_GOAL,I18NCode for Has Goal,Has Goal,Heeft doel,Yes
I18N_HAVE_YOU_ALREADY_RESET_THE_PASSWORD,I18NCode for Have You Already Reset The Password,Have you already reset the password?,Heeft doel,Yes
I18N_HELP,I18NCode for Help,Help,Hulp,Yes
I18N_HELP_RESIZE_IMAGE_MODAL,"I18NCode for Drag to position, use the corners to resize the cropping area.
","Drag to position, use the corners to resize the cropping area.",Sleep naar de gewenste positie en gebruik de hoeken om het formaat van het bijsnijdgebied te wijzigen.,Yes
I18N_HIDE_FROM_REPORT,I18NCode for Hide From Report,Hide From Report,Verbergen voor rapport,Yes
I18N_HOST_TEAM,I18NCode for Host Team,Host Team,Gastteam,Yes
I18N_HOW,I18NCode for How,How,Hoe,Yes
I18N_HOW_CAN_I_SETUP_TASKS_IN_REPORTING2YOU_AND_AUTOMATE_ZERO_TO_ONE_TASK,I18NCode for How can I setup Tasks in Reporting2You and automate Zero-To-One Task,How can I setup Tasks in Reporting2You and automate Zero-To-One Task,Hoe kan ik Taken instellen in Reporting2You en Zero-To-One Task automatiseren,Yes
I18N_HOW_DO_I,I18NCode for How do i,How do i...,Hoe kan ik...,Yes
I18N_HOW_DO_WE_PROTECT_YOUR_INFORMATION,I18NCode for How do we protect your information,How do we protect your information?,Hoe beschermen wij uw informatie?,Yes
I18N_HOW_LONG_WILL_YOUR_INFORMATION_BE_HELD,I18NCode for How long will your information be held,How long will your information be held?,Hoe lang worden uw gegevens bewaard?,Yes
I18N_HOW_THIS_INFORMATION_IS_USED,I18NCode for How this information is used,How this information is used?,Hoe wordt deze informatie gebruikt?,Yes
I18N_HOW_TO_IMPROVE,I18NCode for How to Improve,How do i improve,Hoe kan ik verbeteren,Yes
I18N_I_M_NEW_IN_REPORTING2YOU__IS_THERE_ANY_QUICK_OVERVIEW,I18NCode for I'm new in Reporting2You! Is there any quick overview,I'm new in Reporting2You! Is there any quick overview,Ik ben nieuw bij Reporting2You!,Yes
I18N_I18N_DESCRIPTION_IS_VERY_USEFUL,I18NCode for I18n Description is very Useful,Description is very useful,Beschrijving is erg handig,Yes
I18N_I18N_WITH_HISTORY_,I18NCode for With History ,History,Geschiedenis,Yes
I18N_I18N_ZEROREF_W,I18NCode for ZeroREF/week,ZeroREF/W,NulREF/W,Yes
I18N_I18NCODES,I18NCodes for I18NCodes,I18N Codes,I18N-codes,Yes
I18N_ICON,I18NCode for Icon,Icon,Icon,Yes
I18N_IGNORED,I18NCode to Ignored,Ignored,Genegeerd,Yes
I18N_IMAGE_GAME,I18NCode for Image Game,Image Game,Beeldspel,Yes
I18N_IMAGE_UPLOAD_ERROR,I18NCode for Image Upload Error,Error submitting image.,Fout bij het verzenden van afbeelding.,Yes
I18N_IMAGE_UPLOAD_SUCCESS,I18NCode for Image Upload Success,Image submitted successfully.,Afbeelding succesvol verzonden.,Yes
I18N_IMPERSONATION_MODE,I18NCode for Impersonation Mode,Impersonation Mode,Imitatiemodus,Yes
I18N_IMPLEMENT_A_BNI_GAME,I18NCode for Implement a BNI Game,Implement a BNI Game,Implementeer een BNI-game,Yes
I18N_IMPLEMENT_GAME_NOTE,I18NCode for Implement Game Note,"Note:To configure this report to be sent to members, or Directors you need to go to Regional Administration -> Regional Settings and at the Reports section set who do you want to receive the BNI Game report.<br/>
After this, a report will be generated every Monday for each active BNI Game in your region.","Let op: Om te configureren dat dit rapport naar leden of directeuren wordt verzonden, moet je naar Regionale Administratie -> Regionale Instellingen gaan en in de sectie Rapporten instellen wie je het BNI Game-rapport wilt laten ontvangen.<br/>",Yes
I18N_IMPORT_TRANSLATIONS,I18NCode for Import Translations,Import Translations,Vertalingen importeren,Yes
I18N_IMPROVE,I18NCode for Improve,To improve,Om te verbeteren,Yes
I18N_IN,I18NCode for In,In,In,Yes
I18N_IN_THE_LAST,I18NCode for In the Last,In the last,In de laatste,Yes
I18N_IN_THE_LASTS,I18NCode for In the Last,In the last,In de laatste,Yes
I18N_IN_THIS_DATE_RANGE_,"I18NCode for in this date range.
",in this date range.,in dit datumbereik.,Yes
I18N_INACTIVE,I18NCode for Inactive,Inactive,Inactief,Yes
I18N_INACTIVITY_NOTICE,"I18NCode for Inactivity Notice
",Inactivity notice,Inactiviteitsmelding,Yes
I18N_INCOMPLETE_DOWNLOAD,"I18NCode for Incomplete download
",Incomplete download,Onvolledige download,Yes
I18N_INDICATORS,I18NCode for Indicators,Indicators,Indicatoren,Yes
I18N_INDUSTRY,I18NCode for Industry,Industry,Industrie,Yes
I18N_INITIAL_COUNT,I18NCode for Initial Count,Initial Count,Eerste telling,Yes
I18N_INITIATE_A_POLL,i18NCode for Initiate a Poll,Initiate a poll,Eerste telling,Yes
I18N_INSERT_CODE,I18NCode for I18N name placeholder on modals	,Fill Code with I18N,Vul de code in met I18N,Yes
I18N_INSERT_CONTEXT,I18NCode for Context name placeholder on modals	,Enter a name for the new module type,Voer een naam in voor het nieuwe moduletype,Yes
I18N_INSERT_CONTEXT_DESCRIPTION,I18NCode for description placeholder modals	,Fill in the name of the new context,Vul de naam van de nieuwe context in,Yes
I18N_INSERT_DESCRIPTION,I18NCode for I18N description placeholder on modals	, Fill with the I18NCode description,Vul de I18NCode-beschrijving in,Yes
I18N_INSERT_DROP_FILES_TASK,I18NCode for the dropzone in task's modal,Drop the files here,Zet de bestanden hier neer,Yes
I18N_INSERT_LANGUAGE_DESCRIPTION,I18NCode for language description placeholder modals	,Fill in the description of the new language,Vul de beschrijving van de nieuwe taal in,Yes
I18N_INSERT_LANGUAGE_NAME,I18NCode for language name placeholder modals	,Fill in the language  of the new language,Vul de taal van de nieuwe taal in,Yes
I18N_INSERT_LANGUAGE_SHORTNAME,I18NCode for shortname placeholder modals	,Fill in the shortname of the new language,Vul de korte naam van de nieuwe taal in,Yes
I18N_INSERT_MECHANISMS,I18NCode for Insert Mechanisms,Insert Mechanisms,Mechanismen invoegen,Yes
I18N_INSERT_MODULE,I18NCode for module name placeholder on modals, Fill in the name of the new module,Vul de naam van de nieuwe module in,Yes
I18N_INSERT_MODULE_DESCRIPTION,I18NCode for description placeholder modals,Enter a name for the new module type,Voer een naam in voor het nieuwe moduletype,Yes
I18N_INSERT_PROFILE_DESCRIPTION,I18NCode for Insert Profile Description,Insert Profile Description,Profielbeschrijving invoegen,Yes
I18N_INSERT_PROFILE_NAME,I18NCode for Insert Profile Name,Insert Profile Name,Profielnaam invoegen,Yes
I18N_INSERT_TASK_DESCRIPTION,I18NCode for insert description in task's modal,Enter a Description,Voer een Beschrijving in,Yes
I18N_INSERT_TRANSLATION_DESCRIPTION,I18NCode for translation description placeholder modals,Fill with the language description,Vul de taalbeschrijving in,Yes
I18N_INTERNAL,I18NCode for Internal,Internal,Intern,Yes
I18N_INVALID_CREDENTIALS,I18NCode for Invalid Credentials,Invalid credentials,Ongeldige inloggegevens,Yes
I18N_INVALID_OR_EXPIRED_TOKEN,I18NCode for Invalid Or Expired Token,Invalid or Expired token,Ongeldig of verlopen token,Yes
I18N_INVALID_TOKEN_,I18NCode for Invalid Token, <strong>Invalid Token!</strong> The token provided is invalid.,<strong>Ongeldige token!</strong> Het opgegeven token is ongeldig.,Yes
I18N_INVALID_USER_DATA,I18NCode for Invalid User Data,Invalid user data,Ongeldige gebruikersgegevens,Yes
I18N_IS_REPORTING2YOU_GDPR_COMPLIANT,I18NCode for Is Reporting2You GDPR Compliant,Is Reporting2you GDPR compliant,Is Reporting2you AVG-compliant,Yes
I18N_IT_WAS_NOT_POSSIBLE_TO_LOAD_THE_MEMBERS,I18NCode for It was not possible to load the members,It was not possible to load the members,Het was niet mogelijk om de leden te laden,Yes
I18N_JANUARY,I18NCode for January,January,Januari,Yes
I18N_JOIN_DATE,"I18NCode for Join Date
",Join Date,Datum van deelname,Yes
I18N_JULY,I18NCode for July,July,juli,Yes
I18N_JUNE,I18NCode for June,June,juni,Yes
I18N_KEY_METRICS,I18NCode for Key metrics,Key metrics,Belangrijke statistieken,Yes
I18N_KINDLY_SUGGEST_THAT,I18NCode for Kindly suggest that,Kindly suggest that,Belangrijke statistieken,Yes
I18N_KPI,I18NCode for KPI's,Kpi's,Kpi's,Yes
I18N_KPI_CORRELATION,I18NCode for KPI Correlation,Kpi Correlation,Kpi-correlatie,Yes
I18N_KPI_EVOLUTION,I18NCode for Kpi Evolution,KPI Evolution,KPI-evolutie,Yes
I18N_KPI_GAME,I18NCode for Kpi Game,Kpi Game,Kpi-spel,Yes
I18N_KPI_GAME_BNI,I18NCode for KPI Game BNI,KPI Game KPIS,KPI Spel-KPI's,Yes
I18N_KPI_SINGULAR,I18NCode for Kpi in singular,Kpi,Kpi,Yes
I18N_L,I18NCode for L,L,L,Yes
I18N_LANGUAGE,I18NCode for the language name 	,Language,Taal,Yes
I18N_LANGUAGE_DESCRIPTION,I18NCode for language description,Description,Beschrijving,Yes
I18N_LANGUAGES,I18NCodes for Languages,Languages,Talen,Yes
I18N_LAST,I18NCode for Last,Last,Laatst,Yes
I18N_LAST_6_MONTHS,I18NCode for Last 6 Months,Last 6 Months,Laatste 6 maanden,Yes
I18N_LAST_CLOSED_MONTH,I18NCode for Last Closed Month,Last Closed Month,Laatste gesloten maand,Yes
I18N_LAST_MEMBERS_IN_TRAFFIC_LIGHTS,I18NCode for Last Members In Traffic Lights,Last Members in Traffic Lights,Laatste leden in verkeerslichten,Yes
I18N_LAST_MONTH,I18CodeN for last month,Last month:,Vorige maand:,Yes
I18N_LAST_NAME,I18NCode for Last Name label,Last Name,Achternaam,Yes
I18N_LAST_NEW_MEMBER,I18NCode for Last New Member,Last New Member,Laatste nieuwe lid,Yes
I18N_LAST_SPONSORSHIP,I18NCode for Last Sponsorship,Last Sponsorship,Laatste sponsoring,Yes
I18N_LAST_SUBMITED_PALMS,I18NCode for Last submitted PALMS:,Last submitted PALMS,Laatst ingediende PALMEN,Yes
I18N_LAST_UPDATE,I18NCode for Last Update,Last Update,Laatste update,Yes
I18N_LAST12MONTS,I18NCode for Last12Months,Last 12 Months ::,Afgelopen 12 maanden ::,Yes
I18N_LASTMONTH_MENU,I18NCode for Last Month Side Bar Menu,Last Month,Vorige maand,Yes
I18N_LATE,I18NCode for Late,Late,Laat,Yes
I18N_LATEST_REPORTS_RECEIVED,Latest Reports Received,Latest Reports Received,Laatste ontvangen rapporten,Yes
I18N_LAUNCH,I18NCode for Launch,Launch,Launch,Yes
I18N_LAUNCH_DATE,I18NCode for Launch Date,Launch Date,Lanceringsdatum,Yes
I18N_LEADERSHIP_TEAM,I18NCode for Leadership Team,Leadership Team,Leiderschapsteam,Yes
I18N_LEADERSHIP_TEAM_TRAFFIC_LIGHTS,"I18NCode for ""Leadership Team (LT) Traffic Lights""",Leadership Team (LT) Traffic Lights,Leiderschapsteam (LT) Verkeerslichten,Yes
I18N_LEAVING,I18NCode for Exiting,Leaving,Vertrekkend,Yes
I18N_LENGTH_YEARS,I18NCode for Length(Years),Length (Years),Lengte (jaren),Yes
I18N_LEVEL,I18NCode for Level,Level,Niveau,Yes
I18N_LOADING,I18NCode for Loading,Loading...,Laden...,Yes
I18N_LOADING_WARNING_MESSAGE,I18NCode for Loading Warning Message,"Attention!!! This procedure may take a considerable amount of time depending on the number of members, chapters and time interval.",Aandacht!!!,Yes
I18N_LOCATION___DETAILS,I18NCode for Location & Details,Location & details,Locatie & details,Yes
I18N_LOG_IN_TO_REPORTING2YOU,"I18NCode for Log In to Reporting2You
",Log In to Reporting2You,Log in op Reporting2You,Yes
I18N_LOG_OUT,I18NCode for Log Out,Logout,Uitloggen,Yes
I18N_LOGIN_FAILED,I18NCode for Login Failed,Login Failed,Inloggen mislukt,Yes
I18N_LOGIN_WITH_EMAIL,"I18NCode for Login with email
",Login with email,Inloggen met e-mail,Yes
I18N_LT,I18NCode for LT,LT,LT,Yes
I18N_LT_SUSPEND_MEMBERSHIP,I18NCode for LT Suspend Membership,LT Suspend membership,LT Lidmaatschap opschorten,Yes
I18N_LT_SUSPEND_MEMBERSHIP_LABEL,I18NCode for LT Suspend Membership Label,Activate LT membership suspension,Activeer de opschorting van het LT-lidmaatschap,Yes
I18N_LT_TRAFFIC_LIGHTS_SCORING_METHOD,"I18NCode for ""LT Traffic Lights Scoring Method""",LT Traffic Lights Scoring Method,LT Verkeerslichten-scoremethode,Yes
I18N_M,I18NCode for M,M,M,Yes
I18N_MANAGE,I18NCode for manage.,Manage,Beheren,Yes
I18N_MANAGE_CHAPTER_GOALS,I18NCode for Manage Chapter Goals,Manage Chapter Goals,Beheer hoofdstukdoelen,Yes
I18N_MANAGE_COUTRY_GOALS,I18NCode for Manage Coutry Goals,Manage Country Goals,Beheer landdoelen,Yes
I18N_MANAGE_DIRECTOR_GOALS,I18NCode for Manage Director Goals,Manage Director Goal,Beheer directeur doel,Yes
I18N_MANAGE_MULTIREGION_GOALS,I18NCode for Manage MultiRegion Goals,Manage Multiregion Goals,Beheer multiregionale doelen,Yes
I18N_MANAGE_REGION_GOALS,I18NCode for Manage region goals,Manage Region Goals,Beheer multiregionale doelen,Yes
I18N_MANAGE_TASKS,I18NCode for Manage Tasks Menu,Manage your tasks,Beheer uw taken,Yes
I18N_MANAGE_TEAM_GOALS,,Manage Team Goals,Beheer teamdoelen,Yes
I18N_MANAGE_YOUR_GOAL,I18NCode to Manage your goal,Manage your Goal!,Beheer uw doel!,Yes
I18N_MARCH,I18NCode for March,March,Maart,Yes
I18N_MARKET,I18NCode for Market,Market,Markt,Yes
I18N_MAX,I18NCode represent Max:,Max:,Maximaal:,Yes
I18N_MAXIMUM,I18NCode for Maximum,File too large. The maximum size is 5MB.,Bestand te groot.,Yes
I18N_MAY,I18NCode for May,May,Kunnen,Yes
I18N_MB,I18NCode for MB,MB,MB,Yes
I18N_MC,I18NCode for MC,MC,MC,Yes
I18N_MCKPI_DESCRIPTION,I18NCode for MCKPI Description,"This is a  <strong>monthly report</strong> that usually is sent to each Leadership Team every 3rd working day of the month.<br/>

It is a fantastic report that has two pages, in the first one you can see the Leadership Team members and the major chapter Key Performance Indicator for 12 and 6 months and at the second page, you will find the previous month Chapter Notable Networkers for Referrals, Business Given, One-to-Ones and Visitors.

It really saves time to LT and, if they print the report, they can use it at the Checkin Table...",Dit is een  <strong>maandelijks rapport</strong> dat doorgaans elke derde werkdag van de maand naar elk leiderschapsteam wordt verzonden.<br/>,Yes
I18N_MCKPI_MONTHLY_CHAPTER_KEY_PERFORMANCE_INDICATORS_REPORT,I18NCode for MCKPI - Monthly Chapter Key Performance Indicators Report,MCKPI - Monthly Chapter Key Performance Indicators Report,MCKPI - Maandelijks rapport met kernprestatie-indicatoren,Yes
I18N_MCMTE_DESCRIPTION,I18NCode for MCMTE Description,"This is a <strong>monthly report</strong> that usually is sent to LT's and DC's (the ED must set who receives it, LT, DC...) every 3rd working day of the month.<br/>

The goal is to give LT's and Directors an update regarding their members performance evolution and also the ability to understand Mentors success.","Dit is een <strong>maandelijks rapport</strong> dat doorgaans elke derde werkdag van de maand naar de LT's en DC's wordt verzonden (de ED moet instellen wie het ontvangt, LT, DC...).<br/>",Yes
I18N_MCMTE_MONTHLY_MEMBER_TRAFFIC_LIGHTS_EVOLUTION_,I18NCode for MCMTE Monthly Member Traffic Lights Evolution ,MCMTE - Monthly Member Traffic Lights Evolution,MCMTE - Maandelijkse evolutie van verkeerslichten voor leden,Yes
I18N_MCMTL__MONTHLY_MEMBER_TRAFFIC_LIGHTS_REPORT,I18NCode for MCMTL - Monthly Member Traffic Lights Report,MCMTL - Monthly Member Traffic Lights Report,MCMTL - Maandelijks verkeerslichtenrapport voor leden,Yes
I18N_MCMTL_DESCRIPTION,I18NCode for MCMTL Description,"This is a <strong>monthly report</strong> that usually is sent each member (the ED decides who receives it, LT, DC...) every 3rd working day of the month.<br/>

The goal is to give each member enough information to understand where he needs to invest time in order to work is own VCP. If he opens the file with Adobe Acrobat Reader he can click his name and the system will tell him how many referrals, trainings, one-to-one, visitors, testimonials he needs to do to reach next color and Green... try it! It is really great.","Dit is een <strong>maandelijks rapport</strong> dat doorgaans elke derde werkdag van de maand naar elk lid wordt verzonden (de ED beslist wie het ontvangt, LT, DC...).<br/>",Yes
I18N_MCP_DESCRIPTION,I18NCode for Description,"This is a <strong>monthly report</strong> that usually is sent to the Leadership Team every 3rd working day of the month.<br/>

The goal is to give each Leadership and DC a tool to look for the principal Key Success Factor to fix (Power of One), because in this report it is so easy to understand the chapter evolution on each and every KSF and other KPI's","Dit is een <strong>maandelijks rapport</strong> dat doorgaans elke derde werkdag van de maand naar elk lid wordt verzonden (de ED beslist wie het ontvangt, LT, DC...).<br/>",Yes
I18N_MCP_MONTHLY_CHAPTER_PERFORMANCE_REPORT,I18NCode for MCP Monthly Chapter Performance Report,MCP - Monthly Chapter Performance Report,MCP - Maandelijks hoofdstukprestatierapport,Yes
I18N_MDAA_DESCRIPTION,I18NCode for MDAA Description,"This is a <strong>monthly report</strong> that usually is sent to each AD every 3rd working day of the month.

The goal is to give, in only one report, the list of next 3 month renewals and identify on that list the members in member traffic lights RED or GRAY, and also complete list of what happened last month in the region (late, dropped , new and renewed members, members with 3 or more absences, members with 3 or more substitutions, PALMS monitoring and Directors Chapter Visits)",Dit is een <strong>maandelijks rapport</strong> dat doorgaans elke derde werkdag van de maand naar elke AD wordt verzonden.,Yes
I18N_MDAA_MONTHLY_AREA_DIRECTOR_CONSULTANT_ALERT_REPORT,I18NCode for MDAA  Monthly Area Director Consultant Alert Report,MDAA - Monthly Area Director Consultant Alert Report,MDAA - Maandelijks waarschuwingsrapport van gebiedsdirecteurconsulent,Yes
I18N_MDAP_DESCRIPTION,I18NCode for MDAP Description,"This is a <strong>monthly report</strong> that usually is sent to each AD every 3rd working day of the month.<br/>

The goal is to give the AD a tool to look understand his performance and evolution on each and every KSF and other KPI's",Dit is een <strong>maandelijks rapport</strong> dat doorgaans elke derde werkdag van de maand naar elke AD wordt verzonden.<br/>,Yes
I18N_MDAP_MONTHLY_AREA_DIRECTOR_CONSULTANT_PERFORMANCE_REPORT,I18NCode for MDAP Monthly Area Director Consultant Performance Report,MDAP - Monthly Area Director Consultant Performance Report,MDAP - Maandelijks prestatierapport van gebiedsdirecteurconsulent,Yes
I18N_MDCA_DESCRIPTION,I18NCode for MDCA,"This is a <strong>monthly report</strong> that usually is sent to each DC every 3rd working day of the month.<br/>

The goal is to give, in only one report, the list of next 3 month renewals and identify on that list the members in member traffic lights RED or GRAY, and also complete list of what happened last month in the region (late, dropped , new and renewed members, members with 3 or more absences, members with 3 or more substitutions, PALMS monitoring and Directors Chapter Visits)",Dit is een <strong>maandelijks rapport</strong> dat doorgaans elke derde werkdag van de maand naar elk DC wordt verzonden.<br/>,Yes
I18N_MDCA_MONTHLY_DIRECTOR_CONSULTANT_ALERT_REPORT,I18NCode for MDCA  Monthly Director Consultant Alert Report,MDCA - Monthly Director Consultant Alert Report,MDCA - Maandelijks waarschuwingsrapport voor directeur-consulenten,Yes
I18N_MDCP_DESCRIPTION,I18NCode for MDCP Description,"This is a <strong>monthly report</strong> that usually is sent to each DC every 3rd working day of the month.<br/>

The goal is to give the DC a tool to look understand his performance and evolution on each and every KSF and other KPI's",Dit is een <strong>maandelijks rapport</strong> dat doorgaans elke derde werkdag van de maand naar elk DC wordt verzonden.<br/>,Yes
I18N_MDCP_MONTHLY_DIRECTOR_CONSULTANT_PERFORMANCE_REPORT,I18NCode for MDCP Monthly Director Consultant Performance Report,MDCP - Monthly Director Consultant Performance Report,MDCP - Maandelijks prestatierapport van directeur-consulent,Yes
I18N_ME,I18NCode for Me,Me,Mij,Yes
I18N_MECHANISMS,I18NCode for Mechanisms,Mechanisms,Mechanismen,Yes
I18N_MEETING,I18NCode for Meeting,Meeting,Ontmoeting,Yes
I18N_MEGA_REGION,I18NCode for Mega Region,Mega Region,Megaregio,Yes
I18N_MEM,I18NCode for MEM,MEM,MEM,Yes
I18N_MEMBER,I18NCode for Member,Member,Lid,Yes
I18N_MEMBER_ANALYSIS,I18NCode for Member Analysis,Member Analysis,Analyse van leden,Yes
I18N_MEMBER_FLOW,I18NCode for Member Flow,Member Flow,Ledenstroom,Yes
I18N_MEMBER_MANAGEMENT,I18NCode for Member Management,Member Management,Ledenbeheer,Yes
I18N_MEMBER_MECHANISMS,I18NCode for Member Mechanisms,Member Mechanisms,Mechanismen van leden,Yes
I18N_MEMBER_SUPPORT_TASKS,I18NCode for Member Support Tasks,LT or MC Member Support Tasks,LT- of MC-ledenondersteuningstaken,Yes
I18N_MEMBERS,I18NCode for Members,Members,Leden,Yes
I18N_MEMBERS___CHAPTERS,I18NCode for Members & Chapters,Chapters and Members,Hoofdstukken en leden,Yes
I18N_MEMBERS_100_POINTS,I18NCode for Members 100 Points Page Title,100 Points,100 punten,Yes
I18N_MEMBERS_CHAPTER,I18NCode for members/chapter,members/chapter,leden/hoofdstuk,Yes
I18N_MEMBERS_COUNT,I18NCode for Members Count,Members count,Leden tellen,Yes
I18N_MEMBERS_FALLING_IN_TL_FOR,"I18NCode for ""Members falling in TL for""",Members falling in TL for,Leden vallen in TL voor,Yes
I18N_MEMBERS_IN_TRAFFIC_LIGHTS,I18NCode for Members in Traffic Lights,Members in Traffic Lights,Leden in verkeerslichten,Yes
I18N_MEMBERS_LIST,I18NCode for Members List,Members List,Ledenlijst,Yes
I18N_MEMBERS_PROFESSION,I18NCode for Members Profession,Member´s Profession,Beroep van het lid,Yes
I18N_MEMBERS_SATISFACTION,I18NCode for Members Satisfaction,Members Satisfaction,Tevredenheid van leden,Yes
I18N_MEMBERS_TOTAL,I18NCode for Members Total,Total Members,Totaal aantal leden,Yes
I18N_MEMBERS_USERS,I18NCode for Members & Users,Members/Users,Leden/Gebruikers,Yes
I18N_MEMBERS_WITH_LESS_THEN,"I18NCode for ""Members with less then""",Members with less then,Leden met minder dan,Yes
I18N_MEMBERSHIP,I18NCode for Membership,Membership,Lidmaatschap,Yes
I18N_MEMBERSHIP_AGE,I18NCode for MemberShip Age,MemberShip Age,Lidmaatschapsleeftijd,Yes
I18N_MEMBERSHIP_COMMITTEE,I18NCode for Membership Committee,Membership Committee,Lidmaatschapscommissie,Yes
I18N_MEMBERSHIP_LENGTH,I18NCode for MemberShip Length,Membership Length,Lidmaatschapsduur,Yes
I18N_MENU,I18NCode for Menu,Menu,Menu,Yes
I18N_MENU_OPTIONS,I18NCode for Menu Options ,Menu Options,Menu-opties,Yes
I18N_MENUS,I18NCode for Menus,Menus,Menu's,Yes
I18N_MESSAGE_BODY,I18NCode for Message Body,Message Body,Berichttekst,Yes
I18N_MESSAGE_NO_CHAPTER_GOAL,I18NCode for Message No Chapter Goal,Establishing the Chapter Objetive is a fundamental step towards Success.,Het vaststellen van de Chapter-doelstelling is een fundamentele stap op weg naar succes.,Yes
I18N_MESSAGE_NO_COUNTRY_GOAL,I18NCode for Message No Country Goal,Establishing the Country's Objective is a fundamental step towards Success.,Het vaststellen van de doelstelling van het land is een fundamentele stap op weg naar succes.,Yes
I18N_MESSAGE_NO_DIRECTOR_GOAL,I18NCode for Message No Director Goal,Establishing the Director's Objetive is a fundamental step towards Success.,Het vaststellen van de doelstelling van de directeur is een fundamentele stap op weg naar succes.,Yes
I18N_MESSAGE_NO_GROUP_MECHANISMS,I18NCode for Message No Group Mechanisms,Establishing Chapter Mechanisms is a fundamental step towards Success.,Het opzetten van Chapter Mechanismen is een fundamentele stap op weg naar succes.,Yes
I18N_MESSAGE_NO_MEMBER_MECHANISMS,I18NCode for Message No Member Mechanisms,Establishing Member Mechanisms is a fundamental step towards Success.,Het opzetten van ledenmechanismen is een fundamentele stap op weg naar succes.,Yes
I18N_MESSAGE_NO_MULTI_REGION_GOAL,I18NCode for Message No Multi Region Goal,Establishing the Multi Region Objetive is a fundamental step towards Success.,Het vaststellen van de multiregionale doelstelling is een fundamentele stap op weg naar succes.,Yes
I18N_MESSAGE_NO_REGION_GOAL,I18NCode for Message No Region Goal,Establishing the Region's Objetive is a fundamental step towards Success.,Het vaststellen van de doelstelling van de regio is een fundamentele stap op weg naar succes.,Yes
I18N_MESSAGE_TO_BROADCAST,I18NCode for Message to broadcast,Message to broadcast,Bericht om uit te zenden,Yes
I18N_MESSAGES,I18NCode for Messages Chat,Messages,Berichten,Yes
I18N_METRIC_PERFOMANCE,I18NCode for Metric Perfomance,Performance Metrics,Prestatiestatistieken,Yes
I18N_MIN,I18NCode represent Min:,Min:,Min:,Yes
